LGA_CODE_2016,A55_64_SOLSE_VWW_12,A55_64_SOLSE_VWW_13,A55_64_SOLSE_VWW_14,A55_64_SOLSE_VWW_15,A55_64_SOLSE_VWW_16,A55_64_SOLSE_VWW_YNS,A55_64_SOLSE_VWW_T,A55_64_SOLSE_NWNAA_B00,A55_64_SOLSE_NWNAA_00_05,A55_64_SOLSE_NWNAA_06_10,A55_64_SOLSE_NWNAA_11,A55_64_SOLSE_NWNAA_12,A55_64_SOLSE_NWNAA_13,A55_64_SOLSE_NWNAA_14,A55_64_SOLSE_NWNAA_15,A55_64_SOLSE_NWNAA_16,A55_64_SOLSE_NWNAA_YNS,A55_64_SOLSE_NWNAA_T,A55_64_SOLSE_PinE_NS_B00,A55_64_SOLSE_PinE_NS_00_05,A55_64_SOLSE_PinE_NS_06_10,A55_64_SOLSE_PinE_NS_11,A55_64_SOLSE_PinE_NS_12,A55_64_SOLSE_PinE_NS_13,A55_64_SOLSE_PinE_NS_14,A55_64_SOLSE_PinE_NS_15,A55_64_SOLSE_PinE_NS_16,A55_64_SOLSE_PinE_NS_YNS,A55_64_SOLSE_PinE_NS_T,A55_64_SOLSE_T_B00,A55_64_SOLSE_T_00_05,A55_64_SOLSE_T_06_10,A55_64_SOLSE_T_11,A55_64_SOLSE_T_12,A55_64_SOLSE_T_13,A55_64_SOLSE_T_14,A55_64_SOLSE_T_15,A55_64_SOLSE_T_16,A55_64_SOLSE_T_YNS,A55_64_SOLSE_T_T,A55_64_L_PinE_NS_B00,A55_64_L_PinE_NS_00_05,A55_64_L_PinE_NS_06_10,A55_64_L_PinE_NS_11,A55_64_L_PinE_NS_12,A55_64_L_PinE_NS_13,A55_64_L_PinE_NS_14,A55_64_L_PinE_NS_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B00,A55_64_T_00_05,A55_64_T_06_10,A55_64_T_11,A55_64_T_12,A55_64_T_13,A55_64_T_14,A55_64_T_15,A55_64_T_16,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B00,A65_74_SEO_00_05,A65_74_SEO_06_10,A65_74_SEO_11,A65_74_SEO_12,A65_74_SEO_13,A65_74_SEO_14,A65_74_SEO_15,A65_74_SEO_16,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_SOLSE_VWW_B00,A65_74_SOLSE_VWW_00_05,A65_74_SOLSE_VWW_06_10,A65_74_SOLSE_VWW_11,A65_74_SOLSE_VWW_12,A65_74_SOLSE_VWW_13,A65_74_SOLSE_VWW_14,A65_74_SOLSE_VWW_15,A65_74_SOLSE_VWW_16,A65_74_SOLSE_VWW_YNS,A65_74_SOLSE_VWW_T,A65_74_SOLSE_NWNAA_B00,A65_74_SOLSE_NWNAA_00_05,A65_74_SOLSE_NWNAA_06_10,A65_74_SOLSE_NWNAA_11,A65_74_SOLSE_NWNAA_12,A65_74_SOLSE_NWNAA_13,A65_74_SOLSE_NWNAA_14,A65_74_SOLSE_NWNAA_15,A65_74_SOLSE_NWNAA_16,A65_74_SOLSE_NWNAA_YNS,A65_74_SOLSE_NWNAA_T,A65_74_SOLSE_PinE_NS_B00,A65_74_SOLSE_PinE_NS_00_05,A65_74_SOLSE_PinE_NS_06_10,A65_74_SOLSE_PinE_NS_11,A65_74_SOLSE_PinE_NS_12,A65_74_SOLSE_PinE_NS_13,A65_74_SOLSE_PinE_NS_14,A65_74_SOLSE_PinE_NS_15,A65_74_SOLSE_PinE_NS_16,A65_74_SOLSE_PinE_NS_YNS,A65_74_SOLSE_PinE_NS_T,A65_74_SOLSE_T_B00,A65_74_SOLSE_T_00_05,A65_74_SOLSE_T_06_10,A65_74_SOLSE_T_06,A65_74_SOLSE_T_12,A65_74_SOLSE_T_13,A65_74_SOLSE_T_14,A65_74_SOLSE_T_15,A65_74_SOLSE_T_16,A65_74_SOLSE_T_YNS,A65_74_SOLSE_T_T,A65_74_L_PinE_NS_B00,A65_74_L_PinE_NS_00_05,A65_74_L_PinE_NS_06_10,A65_74_L_PinE_NS_11,A65_74_L_PinE_NS_12,A65_74_L_PinE_NS_13,A65_74_L_PinE_NS_14,A65_74_L_PinE_NS_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B00,A65_74_T_00_05,A65_74_T_06_10,A65_74_T_11,A65_74_T_12,A65_74_T_13,A65_74_T_14,A65_74_T_15,A65_74_T_16,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B00,A75_84_SEO_00_05,A75_84_SEO_06_10,A75_84_SEO_11,A75_84_SEO_12,A75_84_SEO_13,A75_84_SEO_14,A75_84_SEO_15,A75_84_SEO_16,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_SOLSE_VWW_B00,A75_84_SOLSE_VWW_00_05,A75_84_SOLSE_VWW_06_10,A75_84_SOLSE_VWW_11,A75_84_SOLSE_VWW_12,A75_84_SOLSE_VWW_13,A75_84_SOLSE_VWW_14,A75_84_SOLSE_VWW_15,A75_84_SOLSE_VWW_16,A75_84_SOLSE_VWW_YNS,A75_84_SOLSE_VWW_T,A75_84_SOLSE_NWNAA_B00,A75_84_SOLSE_NWNAA_00_05,A75_84_SOLSE_NWNAA_06_10,A75_84_SOLSE_NWNAA_11,A75_84_SOLSE_NWNAA_12,A75_84_SOLSE_NWNAA_13,A75_84_SOLSE_NWNAA_14,A75_84_SOLSE_NWNAA_15,A75_84_SOLSE_NWNAA_16,A75_84_SOLSE_NWNAA_YNS,A75_84_SOLSE_NWNAA_T,A75_84_SOLSE_PinE_NS_B00,A75_84_SOLSE_PinE_NS_00_05,A75_84_SOLSE_PinE_NS_06_10,A75_84_SOLSE_PinE_NS_11,A75_84_SOLSE_PinE_NS_12,A75_84_SOLSE_PinE_NS_13,A75_84_SOLSE_PinE_NS_14,A75_84_SOLSE_PinE_NS_15,A75_84_SOLSE_PinE_NS_16,A75_84_SOLSE_PinE_NS_YNS,A75_84_SOLSE_PinE_NS_T,A75_84_SOLSE_T_B00,A75_84_SOLSE_T_00_05,A75_84_SOLSE_T_06_10,A75_84_SOLSE_T_11,A75_84_SOLSE_T_12,A75_84_SOLSE_T_13,A75_84_SOLSE_T_14,A75_84_SOLSE_T_15,A75_84_SOLSE_T_16,A75_84_SOLSE_T_YNS,A75_84_SOLSE_T_T,A75_84_L_PinE_NS_B00,A75_84_L_PinE_NS_00_05,A75_84_L_PinE_NS_06_10,A75_84_L_PinE_NS_11,A75_84_L_PinE_NS_12,A75_84_L_PinE_NS_13
LGA23670,18,13,10,12,9,44,3486,539,89,135,42,28,48,54,41,25,73,1067,16,0,0,0,3,0,0,0,0,0,20,3477,373,284,66,43,56,61,57,35,121,4577,3,0,0,0,0,0,0,0,0,3,9,6662,497,352,70,58,64,67,63,38,189,8051,2958,40,12,0,4,0,0,5,3,83,3109,1940,56,52,13,8,9,11,4,4,36,2128,394,39,110,20,21,18,26,20,24,46,707,12,0,0,0,0,0,0,0,0,4,15,2348,95,157,31,30,26,39,25,23,78,2855,9,0,0,0,0,0,0,0,0,3,14,5324,135,173,31,27,31,43,29,26,166,5972,1573,25,15,0,0,3,0,3,0,52,1674,1079,14,22,7,0,0,3,3,0,29,1157,366,34,44,7,7,8,8,3,3,14,489,6,0,0,0,0,0,0,0,0,13,14,1450,51,65,16,5,10,12,6,3,59,1665,11,0,0,0,0,0
LGA23810,0,0,0,3,0,11,348,29,3,9,0,6,4,4,0,0,5,59,3,0,0,0,0,0,0,0,0,0,4,326,21,24,6,4,5,3,3,0,16,412,8,0,0,0,0,0,0,0,0,0,4,1371,52,53,13,11,9,3,8,6,58,1584,1546,9,10,6,0,0,0,0,0,46,1617,418,4,0,0,0,0,0,0,0,13,438,55,5,5,4,0,0,0,0,0,0,69,3,0,0,0,0,0,0,0,0,0,3,471,6,6,4,0,0,0,0,0,14,508,11,0,0,0,0,0,0,0,0,4,12,2028,20,15,6,0,0,0,0,0,64,2139,771,9,0,0,0,0,0,0,0,26,807,381,0,3,0,0,0,0,0,0,15,398,108,0,5,0,0,0,0,0,0,6,121,7,0,0,0,0,0,0,0,0,0,7,496,0,3,0,0,0,0,0,0,25,525,10,0,0,0,0,0
LGA23940,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,121,3,4,0,0,0,0,0,0,6,133,127,0,6,0,0,0,0,0,0,6,139,21,0,0,0,0,0,0,0,0,0,22,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,157,3,6,0,0,0,0,0,0,6,167,46,0,0,0,0,0,0,0,0,0,54,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
LGA24130,0,0,0,0,0,11,177,9,3,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,0,3,164,5,8,0,0,0,0,0,3,15,193,4,0,0,0,0,0,0,0,0,0,4,1017,40,23,3,0,0,3,0,3,37,1127,921,17,5,0,3,3,0,0,0,27,969,182,0,4,0,0,0,0,0,0,6,197,7,0,0,4,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,192,0,4,4,0,0,0,0,0,6,211,4,0,0,0,0,0,0,0,0,0,4,1113,16,8,4,3,3,0,0,0,38,1185,355,3,3,0,0,0,0,0,0,27,388,92,0,0,0,0,0,0,0,0,6,98,14,0,0,0,0,0,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,9,119,0,0,0,0,0,0
LGA24210,16,15,17,11,3,78,4010,781,132,189,50,43,45,66,41,38,110,1490,25,3,0,0,0,0,0,0,0,0,30,4314,363,296,75,61,61,82,51,42,188,5526,0,0,0,0,0,0,0,0,0,4,9,6001,476,344,73,65,64,89,57,46,240,7450,1756,34,21,3,3,5,3,7,5,42,1867,3122,52,31,3,9,10,8,15,4,75,3334,825,59,105,20,27,18,25,22,13,49,1173,28,0,0,0,0,0,0,0,0,0,30,3977,115,144,27,34,23,37,36,15,127,4532,11,0,0,0,0,0,0,0,0,3,13,5743,145,160,29,36,30,34,38,24,171,6410,978,13,16,3,0,0,0,0,0,36,1047,2076,22,14,0,0,3,4,3,0,62,2184,970,34,55,8,15,6,7,3,3,49,1148,31,0,0,0,0,0,0,0,0,5,39,3077,58,71,11,16,7,12,4,3,116,3377,6,0,0,0,0,0
LGA24250,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,159,9,6,0,0,0,0,0,0,4,179,192,3,0,0,0,0,0,0,0,10,209,28,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,225,3,0,0,0,0,0,0,0,10,242,72,0,0,0,0,0,0,0,0,0,69,31,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
LGA24330,7,10,6,12,0,35,1649,966,68,82,14,17,25,21,27,22,55,1287,7,0,0,0,0,0,0,0,0,3,10,2450,119,120,22,23,34,30,31,22,90,2949,4,0,0,0,0,0,0,0,0,5,16,3155,145,138,29,27,39,44,39,22,115,3746,426,13,5,3,3,0,0,0,0,10,465,936,18,8,3,0,0,0,3,0,35,1007,818,41,34,4,7,0,4,8,10,28,953,16,0,0,0,0,0,0,0,0,5,15,1766,57,45,8,7,3,4,15,13,67,1979,3,0,0,0,0,0,0,0,0,0,4,2192,73,48,8,7,3,7,15,15,77,2443,177,0,0,0,0,0,0,0,0,6,184,538,3,7,0,0,0,0,0,0,23,574,796,28,7,4,0,0,3,0,0,40,879,6,0,0,0,0,0,0,0,0,7,11,1347,32,13,3,0,0,3,4,0,66,1473,4,0,0,0,0,0
LGA24410,3,11,3,4,3,18,975,153,35,83,27,40,39,35,34,30,52,525,5,0,0,0,0,0,0,0,0,0,6,961,114,139,34,39,52,35,38,32,66,1508,8,0,0,0,0,0,0,0,0,0,9,2896,174,175,37,55,51,44,42,36,110,3624,2045,13,13,0,0,0,3,0,3,33,2116,655,15,11,3,3,0,3,3,3,17,718,137,17,50,19,11,13,11,22,17,19,310,3,0,0,0,0,0,0,0,0,0,4,795,32,61,24,17,15,15,22,17,38,1033,0,0,0,0,0,0,0,0,0,0,4,2838,45,78,25,15,18,19,24,16,74,3159,1095,9,5,0,0,0,0,0,0,31,1146,469,11,3,8,0,5,0,0,0,24,518,129,20,25,4,4,3,5,7,0,12,201,7,0,0,0,0,0,0,0,0,0,7,604,30,27,8,4,5,5,8,0,32,723,9,0,0,0,0,0
LGA24600,20,18,21,19,13,41,1099,272,60,83,18,24,31,31,31,27,55,632,3,3,0,0,0,0,0,0,0,3,11,1067,156,152,39,41,55,49,49,40,95,1746,0,0,0,0,0,0,0,0,0,5,5,2037,196,200,65,61,71,68,68,50,128,2937,809,21,15,0,5,0,3,0,6,19,881,549,35,13,7,3,12,5,8,3,19,656,227,28,28,5,11,9,3,11,9,33,366,9,0,0,0,0,0,0,0,0,0,12,781,64,44,17,12,23,12,21,8,55,1031,3,0,0,0,0,0,0,0,0,7,8,1598,85,60,17,15,24,9,19,19,78,1919,281,4,3,0,0,0,0,0,0,12,307,260,8,3,0,0,0,0,0,0,10,284,274,33,17,3,0,3,0,0,3,14,346,6,0,0,0,0,0,0,0,0,0,6,539,40,21,3,0,5,4,0,5,26,641,5,0,0,0,0,0
LGA24650,13,28,11,18,9,59,2973,487,62,78,21,20,30,30,24,14,46,807,26,3,0,0,0,0,0,0,0,3,31,2998,259,216,37,34,58,44,40,18,110,3813,4,0,0,0,0,0,0,0,0,15,16,4677,352,261,51,38,59,46,48,23,175,5737,1447,23,15,3,8,3,0,5,0,67,1562,1566,29,50,5,12,5,11,3,3,54,1740,443,32,51,15,10,19,16,7,10,31,636,18,0,0,0,0,0,0,0,0,3,17,2027,63,101,24,22,29,21,13,16,83,2397,3,0,0,0,0,0,0,0,0,7,14,3476,82,120,22,29,29,21,21,16,157,3969,537,12,8,0,0,0,0,0,0,22,576,465,7,13,0,5,0,0,3,0,25,525,273,29,23,3,9,3,3,3,3,16,362,3,0,0,0,0,0,0,0,0,0,3,739,42,39,4,10,4,4,3,3,43,886,5,0,0,0,0,0
LGA24780,4,4,0,3,3,8,226,52,14,14,9,15,3,3,6,7,10,119,3,0,0,0,0,0,0,0,0,0,3,232,24,22,8,18,8,3,10,5,18,345,0,0,0,0,0,0,0,0,0,0,0,571,28,33,8,16,11,6,12,5,45,732,432,16,4,0,0,3,3,0,0,15,466,256,4,6,0,0,0,0,0,4,17,290,73,3,4,0,7,0,0,0,4,7,109,3,0,0,0,0,0,0,0,0,0,3,339,3,10,0,10,3,0,0,7,30,399,4,0,0,0,0,0,0,0,0,3,4,771,18,14,0,5,4,8,0,7,44,872,170,10,0,0,0,0,0,0,0,11,190,216,0,0,0,0,0,0,0,0,13,231,100,0,0,0,0,0,0,0,0,8,113,4,0,0,0,0,0,0,0,0,0,4,320,4,0,0,0,0,0,0,0,17,343,8,0,0,0,0,0
LGA24850,0,0,0,0,0,4,180,16,5,5,0,5,0,0,0,0,7,29,0,0,0,0,0,0,0,0,0,0,0,179,12,11,0,3,0,0,3,0,7,210,0,0,0,0,0,0,0,0,0,0,3,704,29,23,0,5,0,3,3,0,32,804,540,11,3,0,0,4,0,0,0,18,580,140,0,0,0,0,0,0,0,4,8,154,16,0,3,0,0,0,0,3,0,0,28,3,0,0,0,0,0,0,0,0,0,3,161,0,7,0,0,0,0,3,3,9,185,3,0,0,0,0,0,0,0,0,0,3,708,11,11,0,3,5,0,3,3,30,771,237,0,0,0,0,0,0,0,0,4,246,84,0,0,0,0,0,0,0,0,3,90,16,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,3,105,3,0,0,0,0,0
LGA24900,0,0,0,0,0,0,57,3,0,3,0,0,0,3,0,0,3,15,4,0,0,0,0,0,0,0,0,0,4,52,8,4,0,3,0,3,3,0,3,74,0,0,0,0,0,0,0,0,0,0,3,332,22,20,0,3,0,3,3,3,15,398,439,7,4,0,0,0,0,0,0,18,473,120,0,0,0,0,0,0,0,0,0,118,13,0,0,0,0,0,3,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,3,0,0,3,140,0,0,0,0,0,0,0,0,0,0,0,562,7,4,0,0,0,3,0,0,25,607,214,0,0,0,0,0,0,0,0,9,227,82,0,0,0,0,0,0,0,0,0,86,19,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,7,111,0,0,0,0,0,0
LGA24970,26,27,23,27,8,105,5575,1077,135,258,83,72,86,78,86,76,169,2120,30,3,3,0,0,0,0,0,0,6,45,5915,471,447,105,95,112,104,114,86,286,7737,9,0,0,0,0,0,0,0,0,6,22,8234,614,501,108,102,120,111,121,89,333,10320,2326,37,10,6,3,3,3,3,0,43,2441,3805,78,63,14,16,17,16,10,11,81,4114,1206,124,155,41,53,34,50,48,40,103,1847,28,0,0,0,0,0,0,0,0,6,33,5033,200,222,51,68,52,64,61,50,192,5996,12,0,0,0,0,0,0,0,0,0,13,7372,244,232,60,73,57,69,61,50,238,8453,1382,9,8,0,0,0,0,3,0,48,1445,2322,33,37,11,0,0,0,8,0,56,2472,1516,101,80,22,10,13,6,14,9,61,1835,30,0,3,0,0,0,0,0,0,13,45,3875,136,115,33,12,20,13,20,7,125,4356,12,0,0,0,0,0
LGA25060,6,3,5,3,7,70,2072,444,37,51,12,20,22,6,17,13,33,654,20,0,0,0,0,0,0,0,0,3,27,2353,100,74,16,26,27,11,22,22,105,2750,6,0,0,0,0,0,0,0,0,3,9,3678,131,94,25,35,37,9,22,22,146,4203,1297,12,15,4,0,0,0,0,0,37,1371,2278,16,3,3,3,0,3,3,3,94,2407,620,29,24,9,7,7,3,6,12,29,729,27,0,0,0,0,0,0,0,0,0,33,2922,41,27,9,8,8,5,13,11,122,3165,5,0,0,0,0,0,0,0,0,3,12,4225,53,43,14,9,8,5,15,11,169,4543,517,3,4,0,0,0,0,0,0,9,542,1691,0,3,0,0,0,0,0,0,53,1742,1108,11,21,3,0,0,0,3,3,50,1189,34,0,0,0,0,0,0,0,0,5,38,2825,11,23,3,0,0,0,3,3,105,2971,5,0,0,0,0,0
LGA25150,0,0,0,0,5,3,171,13,0,0,0,0,0,0,0,3,0,22,0,0,0,0,0,0,0,0,0,0,0,162,7,10,0,0,0,0,4,6,3,194,0,0,0,0,0,0,0,0,0,0,0,698,25,22,0,4,3,0,4,6,21,785,614,11,10,0,0,5,3,0,0,21,661,120,3,0,0,0,4,0,0,3,10,139,18,0,0,0,0,3,0,0,3,0,25,3,0,0,0,0,0,0,0,0,0,3,142,4,0,0,0,8,0,0,3,10,165,3,0,0,0,0,0,0,0,0,0,8,763,10,9,0,0,8,3,0,3,33,837,213,0,0,0,0,0,0,0,0,13,228,70,0,0,0,0,0,0,0,0,4,73,13,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,3,91,0,0,0,0,0,0
LGA25250,7,5,10,10,8,80,2965,686,52,49,12,17,27,33,16,17,67,984,27,0,0,0,0,0,0,0,0,3,30,3427,126,106,18,23,30,38,25,25,155,3976,3,0,0,0,0,0,0,0,0,0,6,4756,174,143,25,30,38,43,31,30,208,5475,1084,18,8,9,0,0,3,3,4,30,1158,2878,23,19,3,0,3,4,4,3,98,3048,1215,28,36,3,11,9,5,6,14,54,1384,31,3,0,0,0,0,0,0,0,5,42,4126,57,60,6,11,9,13,12,22,158,4470,4,0,0,0,0,0,0,0,0,3,11,5220,71,67,16,11,11,17,14,28,196,5633,569,4,3,0,0,3,0,0,0,34,615,2511,10,6,0,0,0,0,0,3,81,2606,2162,21,28,3,0,3,0,0,0,146,2371,50,0,0,0,0,0,0,0,0,6,58,4729,31,29,3,3,3,0,0,3,231,5041,3,0,0,0,0,0
LGA25340,4,0,3,6,0,26,732,34,3,3,0,0,0,0,5,0,8,58,7,0,0,0,0,0,0,0,0,0,7,679,33,22,9,3,0,3,12,0,32,794,8,0,0,0,0,0,0,0,0,0,9,4087,209,132,29,10,10,13,12,3,137,4647,4526,75,68,15,11,16,8,18,3,133,4868,996,5,3,0,3,0,0,3,0,33,1049,93,0,0,0,0,4,0,3,0,8,110,9,0,0,0,0,0,0,0,0,0,10,1105,5,3,0,3,8,0,6,0,39,1175,20,0,0,0,0,0,0,0,0,0,19,5648,83,76,16,12,20,13,21,3,178,6059,2693,61,36,7,3,3,3,8,0,94,2908,729,3,0,0,0,0,0,0,0,26,756,144,0,0,0,0,0,0,0,0,4,152,17,0,0,0,0,0,0,0,0,3,20,888,3,4,0,0,0,0,0,0,33,931,12,0,0,0,0,0
LGA25430,0,0,0,0,0,4,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,4,42,0,0,0,0,0,0,0,0,0,26,30,379,10,0,0,3,0,0,0,0,49,450,361,7,4,0,3,3,0,0,0,16,388,34,0,0,0,0,0,0,0,0,0,35,4,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,3,36,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,7,8,405,7,8,0,4,3,0,0,0,25,442,173,4,0,0,0,0,0,0,0,7,183,7,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0
LGA25490,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,163,13,5,0,0,0,3,0,0,3,193,169,0,0,0,0,0,0,0,0,7,174,9,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,4,188,68,0,0,0,0,0,0,0,0,5,70,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
LGA25620,0,0,0,0,0,0,59,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,60,0,3,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,320,9,5,0,0,0,0,0,0,16,350,334,0,0,0,0,0,0,0,0,7,348,51,0,0,0,0,0,0,0,0,0,52,7,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,3,62,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,399,0,0,0,0,0,0,0,0,13,411,133,0,0,0,0,0,0,0,0,7,139,18,0,0,0,0,0,0,0,0,0,17,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0
LGA25710,0,0,0,0,0,10,522,27,3,7,3,0,0,3,3,3,8,58,8,0,0,0,0,0,0,0,0,0,9,498,33,25,4,0,0,7,4,3,13,590,0,0,0,0,0,0,0,0,0,0,0,1672,90,53,11,3,3,8,4,3,38,1890,1049,9,10,0,3,0,0,5,0,13,1091,409,4,3,0,3,0,0,0,0,6,429,23,3,3,0,3,0,0,5,4,3,47,5,0,0,0,0,0,0,0,0,0,5,440,11,9,0,3,0,0,5,4,8,480,0,0,0,0,0,0,0,0,0,3,3,1487,19,17,0,4,0,0,8,4,23,1567,346,9,6,0,0,0,0,0,0,14,377,186,0,0,0,0,0,0,0,0,8,204,53,3,0,0,0,0,0,0,0,3,60,0,0,0,0,0,0,0,0,0,0,0,242,3,0,0,0,0,0,0,0,12,259,0,0,0,0,0,0
LGA25810,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,3,0,0,5,27,0,0,0,0,0,0,0,0,0,0,0,138,5,3,0,0,0,3,0,0,3,156,138,0,5,0,0,0,0,0,0,9,151,23,0,5,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,22,0,5,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,164,3,7,0,0,0,0,0,0,9,184,58,0,0,0,0,0,0,0,0,5,62,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
LGA25900,5,9,10,9,3,27,949,120,18,7,5,3,6,3,4,8,17,199,7,0,0,0,0,0,0,0,0,0,8,933,66,38,14,6,14,15,16,13,46,1161,3,0,0,0,0,0,0,0,0,6,14,2408,145,85,35,23,32,31,31,18,93,2910,1273,37,21,3,0,3,4,3,0,35,1377,793,13,8,3,0,4,7,3,0,13,844,244,3,19,6,3,3,0,5,4,18,296,9,0,0,0,0,0,0,0,0,0,7,1040,19,25,8,3,4,3,8,4,35,1148,3,0,0,0,0,0,0,0,0,3,7,2320,56,47,11,3,11,12,10,3,72,2534,387,9,0,0,0,0,0,0,0,16,420,486,3,4,0,0,0,0,0,0,17,512,510,17,17,0,3,0,0,0,0,9,562,5,0,0,0,0,0,0,0,0,0,6,1001,25,20,0,8,3,0,0,0,30,1085,0,0,0,0,0,0
LGA25990,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,16,16,153,0,0,0,0,0,0,0,0,23,181,146,0,0,0,0,0,0,0,0,6,157,15,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0,8,8,165,0,0,0,0,0,0,0,0,16,182,55,0,0,0,0,0,0,0,0,0,59,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
