LGA_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
LGA23350,18,375,64,451,12,277,34,325,47,476,107,626,81,716,110,914,135,923,131,1192,176,995,119,1297,110,841,113,1064,36,324,79,441,7,99,28,131,622,5026,782,6436,21,415,52,487,31,227,16,268,64,522,35,626,170,776,70,1018,251,946,80,1274,300,929,114,1343,168,711,96,977,56,315,83,461,9,177,33,224,1068,5020,592,6674,33,783,119,939,40,498,51,589,113,992,145,1250,249,1498,183,1928,385,1868,210,2462,471,1930,237,2633,281,1552,208,2039,95,644,159,902,19,277,59,353,1693,10038,1373,13104
LGA23430,143,3721,289,4154,209,4223,314,4741,585,8475,626,9687,922,9371,654,10948,1369,8456,607,10426,1315,6619,534,8469,710,4986,540,6238,415,2790,515,3723,119,1100,322,1542,5781,49750,4391,59923,168,3596,258,4020,218,3638,211,4068,853,8655,598,10110,1542,9404,581,11527,2179,8407,586,11173,2056,6550,536,9142,1188,5479,649,7316,500,3486,725,4706,90,1864,638,2600,8796,51083,4790,64673,305,7317,549,8174,423,7861,520,8811,1435,17134,1225,19800,2465,18780,1230,22479,3543,16862,1191,21604,3372,13165,1070,17615,1894,10466,1192,13553,916,6275,1236,8428,211,2967,959,4139,14577,100833,9186,124594
LGA23670,193,4606,283,5083,241,4734,255,5223,641,8863,509,10020,931,8645,523,10102,1264,8753,519,10538,1346,7719,494,9564,799,5252,430,6483,374,2459,385,3213,94,840,171,1102,5888,51873,3576,61338,229,4335,268,4831,312,4472,188,4974,975,8835,506,10316,1510,8683,459,10647,2203,8838,493,11536,2281,7582,470,10329,1144,5511,523,7184,395,2975,526,3898,68,1596,342,2008,9112,52821,3779,65713,426,8937,552,9911,549,9203,441,10200,1617,17700,1020,20332,2440,17328,986,20753,3470,17598,1011,22075,3627,15304,966,19896,1950,10767,953,13662,766,5437,916,7112,158,2430,516,3105,15000,104695,7355,127047
LGA23810,85,1901,293,2279,140,1981,240,2360,336,3614,392,4340,428,3258,346,4032,554,3707,462,4728,629,3841,493,4956,426,2854,453,3738,185,1353,355,1887,40,468,142,654,2827,22971,3175,28975,104,1773,258,2131,207,1979,241,2428,525,3763,430,4718,742,3217,346,4307,1003,3542,441,4989,1103,3561,472,5139,571,2818,482,3870,209,1663,462,2340,24,829,254,1106,4485,23149,3385,31021,190,3675,549,4409,349,3956,485,4789,859,7381,823,9057,1164,6476,691,8337,1561,7250,905,9718,1735,7408,965,10102,996,5672,938,7609,394,3010,816,4227,67,1293,396,1761,7312,46124,6561,59998
LGA23940,9,148,39,198,6,107,14,120,23,195,32,252,32,288,50,370,66,381,73,520,112,544,79,737,63,471,97,632,28,214,67,307,12,77,27,110,354,2417,474,3252,16,154,48,212,8,90,11,110,36,197,30,260,53,246,47,346,120,366,67,554,151,409,57,619,79,351,75,508,25,212,74,309,5,103,37,145,500,2126,444,3074,27,299,82,413,13,193,21,230,64,394,64,518,90,534,99,717,184,750,137,1078,263,950,138,1356,140,823,178,1139,54,422,137,621,20,172,63,256,852,4544,917,6322
LGA24130,63,1283,166,1509,55,973,92,1116,120,1632,141,1891,271,2449,227,2952,396,2810,251,3459,444,2410,255,3109,271,1992,249,2516,89,749,173,1008,23,228,44,296,1740,14531,1595,17861,68,1174,163,1408,80,853,70,1000,199,1704,145,2048,479,2608,236,3325,705,2764,256,3727,771,2218,250,3241,390,1845,294,2533,98,728,181,1003,24,346,141,513,2820,14242,1735,18796,138,2457,326,2919,132,1821,160,2114,319,3328,286,3942,752,5061,468,6277,1100,5577,506,7184,1219,4633,504,6356,660,3841,549,5046,185,1477,353,2012,53,577,178,811,4557,28776,3328,36659
LGA24210,155,3573,198,3919,199,3431,168,3800,403,5643,345,6388,601,5714,301,6615,1080,6444,373,7899,1027,5454,345,6827,758,4519,318,5601,471,3221,422,4114,138,1078,210,1423,4831,39076,2685,46588,162,3267,190,3620,226,3041,155,3426,553,5631,312,6496,999,6115,312,7431,1743,6653,387,8785,1704,5538,377,7622,1178,5076,439,6690,576,3527,520,4623,106,1783,355,2249,7258,40623,3051,50939,321,6845,380,7542,429,6467,327,7222,953,11268,661,12885,1600,11829,617,14044,2821,13098,765,16681,2736,10991,725,14448,1942,9595,756,12292,1050,6745,945,8740,250,2857,561,3668,12091,79698,5741,97529
LGA24250,10,220,35,266,10,137,15,160,25,258,40,319,30,363,49,442,64,447,61,572,101,540,68,711,70,541,68,680,27,202,43,267,7,60,21,81,336,2772,402,3508,9,201,29,237,8,118,8,142,27,282,40,342,43,391,54,493,93,434,55,582,146,506,66,718,92,473,61,628,29,189,60,281,8,97,21,123,443,2698,402,3538,13,418,62,499,19,255,31,299,53,540,72,662,77,758,102,937,154,883,122,1156,238,1052,135,1428,156,1020,132,1311,51,391,103,551,12,153,40,207,777,5466,804,7049
LGA24330,76,1574,197,1847,177,3318,367,3860,513,8363,833,9704,551,5975,626,7154,633,3867,401,4908,449,2848,318,3613,208,1516,216,1939,109,832,169,1109,42,372,105,522,2760,28669,3231,34661,86,1522,178,1784,166,2934,295,3395,648,7907,746,9302,829,5563,515,6901,978,3617,401,4992,721,2601,311,3632,290,1578,220,2084,135,1129,213,1477,17,653,185,854,3872,27500,3061,34435,163,3099,377,3635,343,6253,658,7258,1160,16276,1580,19006,1379,11536,1140,14058,1612,7489,800,9900,1167,5442,633,7247,494,3089,439,4024,243,1963,387,2589,59,1025,291,1379,6633,56171,6294,69093
LGA24410,116,3132,208,3461,152,3054,169,3372,464,6512,368,7339,690,6597,381,7665,916,5926,397,7239,902,4832,314,6048,562,3496,287,4344,258,1843,248,2344,67,683,149,900,4125,36072,2525,42715,153,2869,195,3214,226,2875,159,3253,714,6817,413,7941,1168,6404,377,7947,1600,5955,361,7916,1575,4772,317,6665,873,4008,417,5300,316,2303,442,3063,59,1337,347,1747,6695,37332,3024,47052,269,5999,406,6671,373,5927,324,6629,1176,13323,780,15284,1854,13002,753,15617,2518,11884,755,15158,2476,9599,636,12710,1436,7503,702,9647,577,4149,693,5414,122,2024,498,2647,10811,73408,5547,89771
LGA24600,143,3871,516,4534,350,11670,1512,13530,641,18817,2770,22234,487,6775,1287,8555,450,3665,723,4840,442,2825,558,3832,271,1951,440,2657,89,799,205,1091,18,296,143,459,2900,50676,8169,61741,169,5278,611,6060,460,14114,1652,16228,824,18856,2505,22187,656,5885,947,7484,684,3606,660,4944,714,2733,529,3967,408,1822,395,2623,100,860,238,1206,30,485,282,795,4040,53631,7824,65494,318,9149,1126,10591,805,25780,3169,29756,1470,37675,5283,44425,1143,12662,2234,16035,1135,7269,1383,9784,1152,5554,1091,7798,680,3770,832,5288,189,1662,446,2299,46,781,424,1255,6938,104302,15988,127232
LGA24650,213,3923,433,4574,233,3655,445,4334,658,8256,1064,9980,1081,9221,985,11286,994,6629,714,8331,713,4790,518,6018,449,2986,399,3834,171,969,197,1332,21,246,43,310,4526,40680,4800,50001,227,3720,374,4313,336,3556,398,4287,1223,8845,906,10970,1885,8839,840,11564,1602,6279,674,8557,1301,4667,505,6473,579,2812,451,3838,141,1147,228,1509,19,475,87,578,7304,40334,4455,52096,445,7636,808,8883,565,7215,841,8616,1877,17103,1968,20955,2964,18065,1826,22853,2594,12903,1385,16888,2014,9455,1016,12486,1029,5794,854,7681,312,2111,420,2847,37,718,134,887,11827,81011,9258,102097
LGA24780,95,1492,242,1828,71,1308,180,1560,204,2644,364,3213,310,2391,280,2987,392,2664,384,3447,494,2670,392,3548,307,2045,403,2751,132,965,290,1382,38,370,119,531,2049,16541,2650,21243,98,1373,220,1690,127,1292,169,1590,383,2626,316,3327,536,2373,278,3184,755,2564,315,3631,741,2460,357,3559,433,1918,388,2738,185,1213,384,1781,29,667,200,889,3274,16487,2638,22402,189,2865,460,3518,203,2596,354,3153,586,5269,677,6535,847,4762,558,6168,1143,5228,702,7079,1236,5129,748,7111,737,3964,793,5493,321,2180,666,3169,65,1035,317,1419,5332,33030,5290,43642
LGA24850,57,1264,206,1523,71,1141,123,1330,190,2153,254,2599,218,2022,241,2481,326,2256,284,2870,326,1999,270,2594,179,1364,241,1784,87,523,152,760,21,160,63,237,1478,12877,1821,16185,57,1106,192,1358,86,962,114,1158,311,2089,228,2635,401,2065,238,2704,543,2110,270,2916,498,1728,240,2462,267,1286,268,1821,83,597,181,866,16,242,90,342,2259,12177,1816,16260,114,2371,399,2880,157,2099,234,2487,499,4245,478,5230,615,4084,477,5178,868,4368,549,5789,828,3728,507,5056,449,2646,509,3608,173,1122,332,1633,33,394,147,581,3741,25059,3640,32439
LGA24900,37,740,131,902,60,591,80,730,101,1079,132,1309,169,1131,129,1432,229,1422,188,1841,276,1616,231,2123,180,1502,280,1962,105,835,239,1175,35,254,99,387,1194,9165,1500,11854,53,651,102,808,59,543,49,656,165,1103,123,1393,270,1104,111,1486,377,1370,176,1922,447,1468,203,2107,266,1439,289,2000,117,828,254,1203,24,393,130,547,1779,8903,1440,12121,93,1387,236,1711,121,1137,128,1378,269,2174,258,2699,447,2234,240,2919,603,2793,366,3764,714,3081,430,4227,449,2940,571,3960,223,1663,490,2377,55,650,228,935,2969,18067,2941,23981
LGA24970,227,5729,377,6330,361,8457,513,9337,750,12299,873,13923,1021,9714,673,11414,1510,9036,578,11126,1354,6880,482,8714,932,5594,428,6959,654,3892,497,5046,203,1489,289,1977,7019,63095,4717,74831,247,5485,341,6071,401,7684,437,8513,984,11462,773,13211,1589,9922,570,12085,2333,9056,571,11957,2135,7014,502,9650,1389,6291,542,8221,760,4647,658,6063,138,2421,555,3113,9978,63975,4936,78884,472,11215,718,12399,766,16137,946,17853,1730,23762,1640,27136,2611,19639,1240,23495,3841,18085,1153,23081,3490,13893,982,18367,2327,11880,972,15185,1413,8543,1156,11113,343,3909,838,5088,16993,127073,9652,153720
LGA25060,119,2840,266,3222,158,3570,282,4010,461,7779,771,9008,701,6775,567,8040,1092,6160,526,7772,1022,4623,411,6053,561,3382,423,4363,296,2082,373,2753,116,835,185,1140,4522,38036,3805,46365,128,2732,260,3125,242,3448,281,3974,681,8253,732,9673,1195,6858,577,8624,1807,5870,464,8141,1714,4554,463,6729,873,3657,490,5021,420,2710,503,3634,78,1433,320,1826,7135,39523,4091,50750,247,5572,528,6344,399,7021,565,7987,1142,16035,1509,18685,1894,13631,1143,16665,2899,12027,994,15917,2740,9180,869,12788,1431,7039,914,9385,712,4798,879,6384,195,2266,505,2967,11662,77558,7896,97118
LGA25150,42,937,95,1073,47,789,67,897,118,1447,117,1686,200,1691,145,2033,283,1851,190,2322,287,1588,166,2041,189,1245,177,1611,79,419,92,590,19,123,38,178,1249,10091,1090,12433,59,861,95,1014,58,699,51,811,217,1473,109,1801,373,1689,146,2205,470,1779,181,2431,466,1451,160,2076,253,1172,185,1611,74,475,127,674,12,257,44,310,1985,9858,1099,12943,97,1796,191,2082,106,1487,119,1711,338,2920,229,3488,574,3378,289,4238,750,3632,371,4754,750,3044,329,4118,438,2414,368,3226,154,892,217,1263,31,384,79,491,3233,19950,2191,25373
LGA25250,175,3148,360,3678,306,5499,469,6278,928,15452,1383,17758,1121,10766,951,12843,1373,7434,673,9481,1062,4978,514,6550,513,3410,436,4362,457,2632,425,3510,169,1258,233,1661,6099,54581,5439,66119,193,2951,293,3431,390,5756,449,6598,1336,15033,1288,17661,1724,10238,856,12823,2274,6800,647,9730,1799,4951,550,7294,859,3830,504,5192,582,3823,553,4948,123,2201,324,2653,9279,55594,5464,70339,362,6100,649,7115,700,11258,922,12878,2270,30491,2667,35425,2846,21009,1806,25663,3652,14235,1320,19207,2857,9929,1066,13853,1375,7243,938,9556,1032,6447,973,8461,289,3463,561,4311,15380,110174,10907,136461
LGA25340,148,4099,432,4680,153,3528,279,3969,377,5633,459,6465,747,7152,555,8452,1196,8244,720,10160,1418,7703,727,9847,1085,7749,891,9726,572,4350,828,5753,175,1481,380,2036,5872,49936,5279,61091,160,3727,385,4271,223,2983,233,3442,729,5853,447,7034,1363,7512,588,9463,2157,8247,686,11090,2577,7787,795,11154,1728,8364,1084,11175,664,4669,1085,6421,147,2258,619,3022,9753,51399,5918,67067,303,7825,820,8945,380,6507,517,7409,1109,11489,898,13493,2106,14665,1143,17916,3352,16496,1411,21250,3993,15488,1522,21007,2817,16112,1975,20899,1243,9024,1910,12178,321,3736,1000,5059,15622,101337,11195,128156
LGA25430,24,399,77,502,17,305,85,407,54,504,308,863,108,724,251,1081,145,969,239,1357,225,1183,204,1612,136,981,153,1277,76,446,113,631,17,155,56,226,788,5662,1492,7943,18,365,53,433,21,279,19,314,78,542,67,687,170,803,112,1079,295,1033,134,1460,376,1089,155,1627,241,981,143,1365,76,489,135,693,14,216,108,338,1278,5799,925,8004,37,760,133,933,32,579,105,723,131,1044,377,1544,277,1523,363,2161,435,2009,377,2815,598,2279,364,3239,374,1960,298,2638,148,931,248,1325,25,372,162,563,2064,11461,2421,15946
LGA25490,12,409,85,500,16,309,41,370,44,654,67,768,94,816,88,994,143,891,103,1139,157,996,117,1270,101,726,119,948,49,296,88,428,10,91,33,130,622,5198,734,6556,20,386,73,477,31,283,40,352,82,632,58,772,152,752,74,983,255,885,95,1236,284,808,122,1209,135,646,103,878,33,317,81,430,16,178,46,236,1002,4885,696,6579,28,791,160,978,51,589,79,717,129,1291,123,1537,238,1572,161,1974,403,1779,194,2372,443,1807,240,2483,232,1375,227,1833,82,615,166,863,21,266,83,373,1622,10084,1430,13134
LGA25620,16,285,52,350,4,224,30,263,41,459,47,549,90,617,81,782,112,807,82,1000,155,908,144,1206,116,854,163,1129,36,309,80,428,15,93,25,133,591,4546,704,5843,18,269,55,344,19,211,24,254,68,454,57,574,124,614,79,814,169,721,87,981,247,810,109,1171,124,710,127,961,45,287,95,420,12,147,25,182,823,4218,665,5704,35,550,108,697,24,432,58,513,108,907,105,1118,210,1228,160,1603,283,1528,173,1982,401,1722,254,2376,243,1557,283,2090,85,593,171,854,22,241,58,314,1414,8764,1373,11546
LGA25710,69,2198,162,2430,80,1855,105,2033,177,2508,134,2822,335,3249,184,3766,587,3969,271,4822,707,3444,207,4360,365,2192,159,2713,101,730,93,927,22,189,40,254,2444,20333,1355,24136,76,1966,140,2178,124,1710,81,1916,224,2470,129,2821,617,3448,191,4257,1116,3892,238,5245,1222,3085,215,4522,521,1966,188,2676,116,773,128,1015,16,350,82,449,4036,19653,1394,25077,149,4157,302,4612,203,3564,184,3951,402,4978,258,5639,958,6697,373,8026,1700,7859,505,10069,1933,6531,421,8881,881,4158,348,5391,218,1501,223,1946,43,540,125,705,6483,39987,2746,49213
LGA25810,11,297,44,350,32,212,25,258,48,456,43,544,59,463,40,554,94,621,66,776,142,693,85,917,90,644,88,819,40,276,80,394,20,101,23,143,518,3755,491,4766,15,253,41,311,23,207,24,252,70,410,46,528,101,461,50,617,176,608,68,852,193,650,79,915,119,572,86,778,45,301,104,455,12,205,38,258,761,3666,538,4961,26,549,87,663,54,412,48,511,111,870,92,1073,156,929,88,1171,268,1226,136,1635,336,1341,160,1834,208,1216,173,1595,87,580,178,848,32,303,61,400,1275,7423,1025,9724
LGA25900,45,1210,155,1415,114,2505,351,2968,441,10596,1530,12568,513,7492,987,8992,732,5201,780,6715,636,3841,620,5097,343,2690,441,3472,156,1110,241,1505,43,434,88,565,3025,35076,5199,43303,62,1248,171,1479,140,3035,407,3584,636,11409,1639,13679,801,7360,963,9124,1138,4957,668,6773,1107,3456,546,5105,588,2485,402,3474,186,1254,246,1687,40,694,132,868,4704,35901,5171,45774,108,2459,327,2896,260,5542,752,6555,1071,22003,3167,26249,1317,14848,1951,18115,1871,10163,1448,13486,1736,7295,1169,10205,934,5177,841,6946,343,2367,487,3197,87,1124,220,1433,7728,70973,10368,89077
LGA25990,11,127,22,158,10,111,15,134,20,190,80,287,47,284,104,433,60,345,148,553,94,488,140,721,60,446,138,639,21,176,57,261,3,44,20,71,327,2208,724,3258,12,137,17,173,10,101,10,122,29,215,28,271,70,240,39,352,106,349,33,492,144,401,63,615,91,365,63,519,12,151,34,196,6,74,32,109,493,2035,317,2845,21,265,45,327,22,214,19,258,52,403,107,567,122,517,141,786,167,695,183,1045,235,895,203,1331,152,802,199,1159,37,325,87,451,8,121,51,178,814,4242,1041,6105
LGA26080,3,49,7,60,3,33,3,37,0,45,9,61,4,83,3,94,21,114,16,151,46,173,19,241,34,223,29,294,20,124,31,167,9,39,12,61,142,877,130,1152,3,63,7,79,0,21,3,28,10,55,3,72,15,89,6,114,52,110,11,184,70,167,17,258,49,238,42,328,21,159,39,217,4,77,17,91,233,985,151,1367,3,117,17,138,4,56,11,72,9,103,16,126,26,170,8,208,73,225,31,330,119,340,40,497,86,462,68,620,38,284,68,387,17,112,23,149,379,1864,284,2523
LGA26170,37,721,118,880,33,490,52,573,84,1006,122,1210,139,1186,112,1439,250,1523,191,1966,310,1625,215,2146,236,1539,234,2001,87,678,166,934,29,222,57,309,1204,8990,1267,11457,37,606,93,736,38,480,60,575,155,1057,107,1321,271,1165,126,1560,379,1455,158,1998,519,1632,235,2387,301,1474,253,2032,96,719,198,1021,18,385,100,501,1822,8976,1328,12127,76,1327,212,1614,71,972,108,1147,239,2058,227,2527,410,2349,242,2999,624,2983,352,3956,830,3260,446,4537,533,3014,488,4037,191,1399,369,1954,44,606,155,808,3025,17963,2598,23581
LGA26260,27,437,61,518,21,360,20,400,42,609,52,703,78,676,62,810,111,829,82,1024,179,913,90,1182,104,790,106,999,46,376,78,493,14,138,46,201,626,5118,592,6340,30,385,69,479,31,290,21,341,73,649,42,764,132,660,43,842,227,862,67,1154,276,868,91,1239,133,773,108,1018,49,473,114,638,11,277,91,383,961,5244,654,6862,53,820,127,998,49,650,41,740,117,1256,91,1469,210,1332,103,1649,339,1693,150,2182,455,1785,180,2419,237,1567,213,2018,92,844,196,1131,24,417,141,582,1584,10362,1248,13199
LGA26350,64,1999,186,2244,158,3730,348,4238,431,10362,1145,11934,477,5917,612,7003,716,4715,472,5905,733,3505,381,4618,450,2998,333,3782,249,1710,281,2240,109,696,131,940,3391,35626,3887,42902,86,2144,207,2437,209,4701,408,5319,625,10958,1153,12733,709,5895,559,7158,1181,4613,429,6217,1238,3715,424,5375,769,3239,391,4390,383,2124,389,2891,60,1206,263,1536,5254,38583,4228,48063,144,4144,392,4680,371,8429,754,9561,1052,21316,2300,24674,1180,11803,1167,14153,1894,9328,904,12125,1966,7225,802,9993,1219,6235,727,8179,631,3830,670,5130,175,1902,396,2472,8640,74205,8115,90965
LGA26430,7,208,53,268,12,150,10,174,34,335,35,405,52,359,49,462,82,505,59,648,114,687,104,907,77,673,101,851,44,320,83,448,17,97,38,149,425,3335,544,4303,17,172,33,222,13,150,11,178,43,342,34,421,94,380,43,515,136,511,70,715,218,642,80,940,117,589,89,799,52,298,95,444,5,160,63,225,693,3244,521,4466,20,384,88,486,22,302,28,354,79,678,71,825,142,742,95,979,213,1012,133,1356,330,1330,188,1847,194,1260,194,1653,94,617,174,886,20,257,101,376,1120,6577,1065,8763
LGA26490,22,781,90,889,12,575,55,649,76,1178,98,1359,140,1725,134,1996,218,1697,140,2051,288,1584,160,2033,193,1263,143,1600,73,511,72,651,14,151,38,209,1038,9465,930,11429,23,667,66,756,33,478,41,556,134,1327,109,1568,240,1758,119,2116,403,1632,139,2173,504,1429,122,2062,276,1179,140,1592,73,557,105,733,19,288,53,359,1702,9309,904,11914,39,1447,162,1647,52,1049,102,1201,208,2510,210,2925,378,3479,252,4113,620,3325,275,4220,791,3019,281,4088,470,2444,281,3191,145,1062,176,1392,38,439,87,566,2737,18774,1832,23345
LGA26610,35,482,113,634,43,485,106,633,83,1004,191,1286,106,853,172,1132,173,986,205,1369,184,1021,209,1413,97,744,180,1021,59,403,132,591,26,127,58,212,804,6106,1368,8284,33,474,134,641,32,461,68,559,144,929,159,1235,184,829,160,1170,246,891,199,1340,283,857,210,1353,167,684,177,1026,60,491,134,686,11,252,89,350,1159,5871,1330,8364,70,961,248,1275,76,946,169,1190,229,1931,354,2520,297,1682,328,2303,426,1875,404,2704,467,1886,419,2769,265,1422,363,2044,118,892,268,1281,30,385,147,563,1971,11983,2694,16646
LGA26670,13,144,31,186,3,103,18,121,14,183,17,215,29,221,37,282,71,327,32,429,92,411,39,540,51,378,65,494,25,156,42,224,8,52,12,68,299,1985,287,2572,13,120,17,145,3,76,14,91,37,180,19,237,48,217,24,290,98,316,31,450,112,350,33,500,58,298,59,414,24,149,35,206,5,94,28,120,405,1791,257,2453,23,265,49,328,13,178,26,213,52,359,39,451,75,436,59,572,168,642,63,879,208,764,72,1040,113,680,120,906,48,304,78,433,13,142,36,197,704,3770,545,5023
LGA26700,25,687,127,839,37,565,50,654,107,1072,89,1270,160,1264,146,1564,263,1471,138,1871,272,1503,178,1954,179,1277,189,1646,77,658,148,890,20,211,124,361,1152,8720,1175,11041,42,633,118,796,60,523,62,651,193,1102,89,1379,302,1321,107,1726,411,1420,159,1993,528,1434,178,2136,267,1264,231,1764,107,770,201,1072,16,398,232,646,1927,8855,1378,12165,74,1327,248,1641,101,1090,115,1300,295,2176,178,2649,458,2582,253,3291,678,2883,300,3858,805,2938,347,4094,454,2547,415,3412,185,1431,345,1960,37,608,360,1008,3076,17576,2555,23209
LGA26730,33,986,113,1133,49,992,107,1151,125,1725,134,1986,180,1551,137,1867,255,1648,185,2090,300,1528,172,2001,185,1226,196,1607,79,611,141,836,25,248,62,342,1236,10524,1255,13017,46,949,115,1112,74,905,80,1062,206,1723,142,2076,302,1606,145,2051,502,1717,174,2395,525,1546,183,2253,269,1276,246,1790,100,814,244,1158,18,472,141,630,2051,11012,1465,14531,86,1930,227,2249,129,1902,190,2220,334,3452,276,4061,483,3161,278,3920,753,3372,355,4484,823,3079,360,4254,458,2503,443,3394,184,1426,383,1992,47,718,200,969,3291,21532,2723,27546
LGA26810,51,1063,183,1298,57,948,193,1201,154,1834,505,2495,242,1847,461,2548,308,2128,344,2777,414,2442,352,3209,284,2024,304,2609,112,891,235,1233,30,282,81,394,1657,13454,2658,17769,65,987,168,1217,72,772,90,940,287,1894,175,2359,396,1799,200,2395,577,2121,259,2956,710,2274,300,3285,381,1812,289,2486,117,940,255,1315,26,491,121,636,2632,13088,1866,17585,115,2054,348,2517,134,1717,288,2137,450,3727,686,4858,637,3642,662,4937,886,4247,598,5734,1126,4711,653,6490,666,3841,592,5096,229,1827,495,2546,52,773,201,1033,4290,26541,4522,35358
LGA26890,0,98,8,115,7,77,3,85,6,150,14,170,20,145,19,184,34,234,15,284,38,270,19,325,21,214,29,265,11,112,27,150,5,40,8,54,153,1334,138,1625,6,85,14,104,3,58,0,68,17,163,11,187,27,139,14,174,72,216,22,306,60,206,10,274,40,180,37,254,21,117,27,162,4,46,24,80,246,1202,156,1604,12,179,22,211,12,132,3,149,28,312,23,357,47,284,28,356,105,453,37,594,102,472,30,602,61,392,63,519,30,229,48,313,4,87,37,132,400,2541,296,3234
LGA26980,185,4734,285,5206,310,6216,353,6873,655,10127,576,11351,941,8956,479,10373,1379,8263,477,10118,1323,6385,406,8108,853,4917,380,6146,529,3244,395,4165,177,1345,303,1830,6346,54183,3646,64170,199,4678,269,5147,323,5632,284,6238,856,10049,593,11499,1548,9258,450,11255,2201,8474,469,11142,2169,6601,452,9225,1333,5636,491,7462,652,4219,687,5559,156,2398,577,3136,9440,56953,4268,70660,385,9415,552,10350,631,11852,634,13115,1513,20174,1169,22853,2483,18215,935,21633,3577,16737,941,21261,3489,12984,858,17334,2188,10554,870,13608,1178,7457,1082,9724,334,3746,877,4959,15784,111134,7917,134835
