LGA_CODE_2016,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
LGA23810,27,3,1279,18,50,3,0,55,0,75,0,4,7,0,10,0,13,0,0,0,0,0,0,0,27,57,11,0,64,0,86,0,0,0,0,0,0,3,1272,84,11,0,92,4,1371,388,3,0,0,3,0,394,13,17,3,0,22,0,30,0,0,3,0,5,0,7,0,0,0,0,0,0,0,11,21,8,0,25,0,38,0,0,0,0,0,0,0,398,25,8,0,33,0,427,124,0,0,0,0,0,124,7,11,0,0,14,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,3,0,16,0,19,0,0,0,0,0,0,0,134,11,3,0,16,0,144,9256,160,0,0,159,22,9438,228,528,17,0,548,3,775,13,39,45,0,79,0,100,3,0,0,0,4,0,7,249,565,64,0,631,0,884,26,3,0,0,3,20,48,9531,728,64,0,793,48,10368
LGA23940,0,0,150,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,154,3,0,0,3,0,158,32,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,36,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1007,8,0,0,8,0,1013,6,24,0,0,26,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,0,0,30,0,40,0,0,0,0,0,0,0,1013,38,0,0,38,0,1053
LGA24130,17,3,1143,28,33,3,0,30,0,58,0,4,0,0,5,0,4,0,0,0,0,0,0,0,26,33,3,0,37,0,66,4,0,0,0,0,7,9,1158,50,3,0,54,6,1217,455,3,0,0,3,0,457,11,9,0,0,8,0,21,0,0,0,0,3,0,3,0,0,0,0,0,0,0,11,5,3,0,8,0,23,0,0,0,0,0,0,0,469,15,3,0,16,0,479,176,3,0,0,3,0,174,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,176,4,0,0,4,0,177,8582,145,0,5,151,28,8759,213,249,7,0,259,0,476,9,9,16,0,21,0,34,0,0,0,0,0,0,0,223,256,20,0,283,0,507,16,0,0,0,0,17,36,8822,403,25,5,433,46,9300
LGA24210,80,3,1661,129,991,84,7,1082,0,1214,3,89,103,0,187,0,189,0,3,0,0,3,0,8,138,1081,180,7,1272,0,1408,0,0,0,0,0,3,6,1718,1159,185,7,1348,8,3077,1024,53,3,0,54,3,1081,88,846,70,0,917,0,1001,3,75,91,0,168,0,171,0,3,0,0,3,0,3,95,922,156,3,1087,0,1178,0,0,0,0,0,0,0,1117,972,158,3,1136,3,2257,614,17,0,0,17,0,640,75,463,47,0,508,0,585,0,41,52,0,95,0,93,3,4,0,0,4,0,8,82,510,95,0,606,0,682,0,0,0,0,0,0,0,694,528,95,0,625,3,1323,10505,625,12,3,643,10,11158,1183,7966,491,33,8487,8,9678,24,538,560,3,1102,0,1123,7,18,6,17,44,0,48,1219,8529,1052,52,9632,8,10855,0,12,0,0,12,22,38,11723,9164,1060,58,10287,38,22049
LGA24250,0,0,140,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,141,3,0,0,3,0,143,25,0,0,0,0,0,25,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,28,0,0,0,0,0,28,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,1145,6,0,0,6,0,1154,16,23,0,0,23,0,42,0,7,3,3,13,0,13,0,0,0,0,0,0,0,16,27,3,3,31,0,52,8,0,0,0,0,5,11,1173,38,3,3,39,5,1216
LGA24330,32,0,498,46,314,42,0,363,0,402,3,92,102,0,185,0,192,0,0,0,0,0,0,0,47,406,144,3,554,0,597,0,0,0,0,0,0,3,512,433,149,3,579,0,1092,230,12,0,0,14,0,244,25,226,36,0,262,0,284,0,75,100,0,176,0,177,0,0,0,0,0,0,0,23,303,138,0,442,0,465,3,0,0,0,0,0,3,254,317,139,0,458,0,711,102,3,0,0,3,0,104,11,128,27,0,163,0,174,0,42,53,0,97,0,97,0,0,0,0,0,0,0,15,178,84,0,256,0,270,0,0,0,0,0,0,0,113,179,84,0,262,0,375,5979,396,17,4,419,13,6406,621,3513,258,13,3787,8,4411,16,648,674,0,1322,0,1339,0,14,3,11,23,0,22,641,4176,928,22,5129,8,5772,18,4,0,0,5,12,31,6633,4581,943,28,5546,28,12208
LGA24410,43,0,2095,62,197,14,0,217,0,278,3,37,104,0,143,0,144,0,0,0,0,0,0,0,68,238,120,0,361,0,428,4,0,0,0,0,0,4,2125,278,120,0,398,0,2524,1121,32,0,0,32,3,1154,31,181,15,0,200,0,227,0,25,72,0,94,0,96,0,3,0,0,3,0,3,30,209,84,0,294,0,325,0,0,0,0,0,0,0,1155,246,84,0,331,3,1481,567,7,0,0,7,0,574,21,98,11,0,103,0,122,0,20,34,0,50,0,50,0,0,0,0,0,0,0,21,118,43,0,157,0,180,0,0,0,0,0,0,3,586,126,45,0,166,0,754,15688,446,0,3,444,18,16150,631,2812,168,6,2984,5,3623,17,462,838,3,1303,0,1323,5,15,3,0,15,0,25,649,3281,1011,12,4306,12,4964,17,0,3,0,4,11,35,16354,3728,1014,14,4757,31,21150
LGA24600,15,0,299,33,168,12,0,179,0,211,3,30,29,0,59,0,61,0,0,0,0,0,0,0,32,199,40,0,240,0,273,0,0,0,0,0,0,0,315,210,39,0,255,0,572,171,3,0,0,3,0,178,11,119,10,0,126,0,137,0,24,29,0,53,0,53,0,0,0,0,0,0,0,11,139,39,0,178,0,194,0,0,0,0,0,0,0,181,147,39,0,186,0,367,105,5,0,0,5,0,110,12,51,4,0,55,0,69,0,10,25,0,31,0,36,0,0,0,0,0,0,0,16,58,26,0,88,0,102,0,0,0,0,0,0,0,119,62,26,0,95,0,215,2992,194,0,3,202,11,3201,475,2663,161,6,2830,0,3307,14,322,229,0,547,0,558,3,23,0,11,34,0,34,488,3001,383,16,3403,0,3901,6,9,0,0,13,15,30,3490,3206,389,19,3616,32,7137
LGA24650,124,3,1753,138,1218,63,9,1286,0,1427,0,87,77,0,159,0,160,0,15,0,5,16,0,17,143,1315,140,17,1470,0,1615,4,0,0,0,0,0,4,1781,1436,143,17,1592,7,3377,704,33,0,0,36,0,740,69,747,39,0,782,0,851,3,60,63,0,118,0,120,0,0,0,3,5,0,5,69,803,100,0,909,0,979,4,0,0,0,0,3,7,781,834,102,3,940,3,1725,241,14,0,0,14,3,258,26,340,25,0,364,0,392,0,24,27,0,55,0,55,0,3,0,0,4,0,4,26,361,56,0,419,0,445,0,0,0,0,0,0,0,272,376,56,0,429,3,701,14930,1158,23,13,1196,37,16161,1440,11118,418,61,11596,4,13044,27,695,543,3,1247,0,1273,20,79,7,42,128,0,146,1487,11896,970,108,12974,4,14468,23,12,0,0,14,26,61,16436,13062,991,124,14179,67,30683
LGA24780,39,4,1049,22,83,11,0,96,0,124,0,15,21,0,35,0,35,0,0,0,0,0,0,0,22,98,33,0,132,0,158,0,0,0,0,0,0,0,1031,136,39,0,169,4,1202,247,6,0,0,6,0,255,7,19,0,0,19,0,20,0,3,9,0,16,0,17,0,0,0,0,0,0,0,6,17,9,0,33,0,36,0,0,0,0,0,0,0,259,28,14,0,43,0,296,54,0,0,0,0,0,56,0,8,0,0,8,0,8,0,0,3,0,6,0,6,0,0,0,0,0,0,0,0,7,3,0,8,0,8,0,0,0,0,0,0,0,54,7,3,0,13,0,67,6967,176,0,0,176,19,7159,168,585,72,0,657,0,824,7,94,136,3,233,0,238,0,0,0,3,3,0,3,174,678,202,3,889,0,1066,7,4,10,0,13,38,55,7152,856,214,3,1074,58,8283
LGA24850,11,0,882,11,61,0,0,62,0,75,0,7,4,0,11,0,11,0,0,0,0,0,0,0,11,65,3,0,68,0,88,6,0,0,0,0,4,7,887,75,3,0,80,8,973,319,3,0,0,3,0,318,7,24,0,0,24,0,33,0,4,4,0,9,0,10,0,0,0,0,0,0,0,10,28,4,0,29,0,41,0,0,0,0,0,0,0,325,34,4,0,38,0,364,83,0,0,0,0,0,87,3,10,0,0,10,0,8,0,0,0,0,4,0,4,3,0,0,0,0,0,3,7,13,0,0,13,0,18,0,0,0,0,0,0,0,91,14,0,0,11,0,107,6501,118,7,3,122,23,6647,213,540,13,0,556,3,774,3,35,34,0,70,0,68,3,7,0,0,9,0,10,222,578,53,0,631,3,852,8,5,0,0,5,20,31,6726,700,53,4,758,44,7531
LGA24900,9,0,595,7,15,0,0,21,0,26,0,4,0,0,4,0,7,0,0,0,0,0,0,0,7,25,0,0,24,0,34,0,0,0,0,0,0,0,585,30,0,0,32,0,626,121,6,0,0,6,0,124,3,3,0,0,3,0,10,0,3,0,0,3,0,3,0,0,0,0,0,0,0,3,3,0,0,3,0,11,0,0,0,0,0,0,0,125,10,0,0,10,0,136,19,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,24,0,0,0,3,0,27,3917,45,0,0,45,14,3969,88,168,21,0,185,5,276,0,31,11,0,39,0,40,0,0,0,0,0,0,0,83,197,24,0,224,5,313,3,0,0,0,0,0,5,4002,242,24,0,267,23,4294
LGA24970,107,3,1677,146,1661,97,3,1761,0,1902,5,154,166,0,315,0,318,3,11,0,3,16,0,15,151,1817,263,9,2089,0,2239,0,4,0,0,4,0,5,1725,1919,268,9,2196,8,3924,1037,55,0,0,58,0,1092,119,1335,96,4,1433,0,1556,0,131,140,0,270,0,270,0,0,0,0,8,0,8,119,1471,236,3,1708,0,1827,0,0,0,0,0,0,3,1153,1522,237,3,1764,3,2920,559,36,0,0,40,3,599,51,723,42,0,765,0,813,0,80,91,0,167,0,167,0,9,0,0,13,0,13,51,811,129,4,944,0,995,0,0,0,0,0,0,3,609,849,129,4,985,4,1598,11549,880,13,0,892,13,12454,1643,14799,675,54,15530,4,17178,17,1111,903,3,2016,3,2038,13,57,8,26,87,0,106,1674,15970,1584,80,17634,9,19319,13,11,0,0,11,22,52,13242,16861,1597,81,18538,39,31826
LGA25060,78,0,1728,129,585,35,0,620,0,743,0,39,37,0,76,0,76,0,5,0,0,5,0,7,129,620,70,3,695,0,823,0,0,0,0,0,0,3,1778,699,70,4,770,0,2552,1049,38,0,0,38,0,1085,70,392,38,0,433,0,504,0,26,35,0,67,0,67,0,0,0,0,3,0,3,70,422,70,3,497,0,576,0,0,0,0,0,0,3,1120,466,70,3,536,0,1661,561,25,0,0,25,0,586,33,230,20,0,246,0,280,0,20,19,0,45,0,45,0,0,0,0,0,0,0,33,252,35,0,292,0,321,0,0,0,0,0,0,0,597,276,35,0,315,0,910,12993,726,16,12,755,17,13763,1146,4874,225,25,5126,11,6275,15,364,188,7,560,0,575,9,15,0,17,31,0,47,1174,5252,414,47,5712,11,6893,15,9,0,4,11,21,51,14177,5989,427,62,6478,47,20708
LGA25150,25,4,771,15,30,0,0,30,0,43,0,3,0,0,3,0,3,0,0,0,0,0,0,0,15,29,0,0,29,0,46,3,0,0,0,0,0,8,760,49,0,0,49,5,817,270,9,0,0,9,0,279,12,14,0,0,14,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,0,0,14,0,29,0,0,0,0,0,0,0,285,25,0,0,25,0,305,96,0,0,0,0,0,103,4,3,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,4,0,11,0,0,0,0,0,0,0,104,3,0,0,3,0,109,5423,133,0,0,133,15,5574,148,226,3,0,225,0,375,0,7,4,0,10,0,12,0,3,0,0,3,0,3,155,233,8,0,241,0,394,18,0,0,0,0,9,29,5596,368,8,0,372,21,5994
LGA25250,85,0,1272,124,872,80,7,952,0,1075,9,76,63,0,139,0,146,0,3,0,4,8,0,11,127,957,137,14,1109,0,1235,0,0,0,0,0,3,7,1314,1036,142,15,1194,3,2513,626,40,0,0,39,0,665,76,578,42,0,618,0,694,0,68,47,0,116,0,118,0,3,0,0,10,0,10,80,654,89,3,743,0,817,0,0,0,0,0,0,0,708,696,89,3,781,0,1488,335,28,3,0,30,0,369,35,306,18,0,325,0,360,0,35,32,0,62,0,68,0,4,0,0,4,0,4,41,340,53,0,392,0,431,0,0,0,0,0,0,0,377,367,55,0,423,0,800,12093,1020,12,17,1052,20,13162,1373,8881,475,51,9405,7,10792,36,881,406,7,1299,0,1338,6,38,3,32,78,0,82,1420,9800,888,88,10778,7,12209,22,6,3,0,9,19,51,13541,10828,902,102,11840,44,25426
LGA25340,64,4,3087,51,88,5,0,94,0,142,0,0,3,0,3,0,3,0,0,0,0,0,0,0,51,85,8,0,93,0,150,3,0,0,0,0,7,14,3080,150,9,0,160,10,3250,1179,24,0,0,24,0,1207,16,57,9,0,67,0,83,0,0,0,0,0,0,3,0,0,0,0,0,0,0,23,64,5,0,69,0,89,3,0,0,0,0,0,3,1203,87,5,0,89,0,1293,506,4,0,0,4,0,512,13,16,3,0,20,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,3,0,20,0,31,3,0,0,0,0,0,3,524,20,3,0,23,0,547,22841,447,13,3,467,37,23344,621,749,39,0,786,3,1407,4,14,17,3,34,0,40,3,3,0,0,9,0,8,630,764,54,6,827,3,1461,37,4,0,0,4,31,73,23508,1220,66,7,1297,70,24876
LGA25430,7,0,300,10,7,0,0,7,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,4,0,18,0,0,0,0,0,0,0,309,9,0,0,9,0,322,88,3,0,0,3,0,93,3,3,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,8,0,0,0,0,0,0,0,87,6,0,0,6,0,92,30,0,0,0,0,0,31,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,31,3,0,0,3,0,31,2206,41,0,0,41,0,2246,71,67,0,0,69,0,144,0,3,0,0,3,0,3,7,0,0,0,0,0,7,80,73,0,0,76,0,152,8,0,0,0,0,0,7,2293,109,0,0,110,7,2411
LGA25490,4,0,420,4,3,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,10,0,0,0,0,0,0,0,420,10,0,0,10,3,428,94,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,3,95,29,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,29,2973,21,0,0,21,16,3012,48,66,0,0,66,0,113,0,6,0,0,6,0,6,0,0,0,0,0,0,0,48,70,0,0,70,0,119,8,0,0,0,0,8,19,3035,90,0,0,90,25,3145
LGA25620,7,0,233,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,228,7,0,0,7,0,238,62,0,0,0,0,0,62,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,63,0,0,0,0,0,64,15,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,1801,25,0,0,25,3,1831,32,36,0,0,36,0,70,0,3,0,0,3,0,3,3,0,0,0,0,0,3,36,45,0,0,45,0,73,13,0,0,0,0,0,13,1850,71,0,0,71,3,1919
LGA25710,45,3,1832,51,123,3,0,124,0,176,0,3,3,0,5,0,5,0,0,0,0,0,0,0,56,126,4,0,134,0,185,8,0,0,0,0,3,4,1849,165,4,0,173,4,2026,1068,24,0,0,24,0,1090,38,86,0,0,89,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,86,0,0,84,0,122,5,0,0,0,0,0,3,1110,110,0,0,109,3,1219,520,10,0,0,10,0,530,14,54,0,0,55,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,54,0,0,55,0,71,0,0,0,0,0,0,0,534,62,0,0,60,0,604,11827,331,3,0,336,14,12173,508,1005,16,4,1025,0,1527,0,26,19,0,47,0,47,3,3,3,3,6,0,12,509,1030,41,5,1076,0,1589,21,3,0,0,3,12,29,12354,1368,39,5,1411,24,13790
LGA25810,0,0,246,4,3,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,9,0,0,0,0,0,0,0,249,4,0,0,4,0,257,38,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,39,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,1414,3,0,0,3,3,1418,26,45,3,0,47,0,67,0,3,0,0,3,0,3,0,0,0,0,0,0,0,23,49,3,0,50,0,75,4,0,0,0,0,0,4,1444,48,3,0,47,3,1494
LGA25900,36,0,693,50,124,3,0,123,0,174,0,3,8,0,16,0,16,0,0,0,0,0,0,0,50,128,10,0,135,0,187,0,0,0,0,0,0,0,707,155,17,0,176,0,883,345,13,0,0,13,0,360,20,86,5,0,91,0,112,0,11,10,0,18,0,18,0,0,0,0,0,0,0,20,99,13,0,107,0,135,0,0,0,0,0,0,0,373,109,13,0,125,0,494,208,6,0,0,6,0,218,7,38,3,0,40,0,49,0,3,4,0,3,0,3,0,0,0,0,0,0,0,7,42,6,0,47,0,54,3,0,0,0,0,0,3,217,50,6,0,58,0,273,7235,423,4,8,436,0,7664,650,1748,44,3,1797,4,2456,0,68,40,0,111,0,108,0,3,0,3,12,0,13,658,1823,86,13,1918,4,2579,12,0,0,0,0,3,21,7903,2246,93,13,2355,8,10267
LGA25990,3,0,132,3,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,0,4,0,0,0,0,0,0,0,130,8,0,0,5,0,137,41,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,40,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,955,16,0,0,17,7,977,13,16,0,0,16,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,20,0,0,22,0,32,0,0,0,0,0,0,0,966,30,3,0,34,9,1011
LGA26080,0,0,52,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,54,0,0,0,0,0,53,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,23,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,289,0,0,0,0,0,289,15,3,5,0,7,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,5,0,7,0,19,0,0,0,0,0,0,0,296,3,5,0,7,0,308
LGA26170,7,0,615,7,10,0,0,10,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,0,0,13,0,24,3,0,0,0,0,0,3,624,18,0,0,18,0,643,143,3,0,0,3,0,147,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,149,3,0,0,3,0,150,48,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,47,4301,39,3,0,42,16,4354,69,105,11,0,117,0,184,0,0,6,0,6,0,8,3,0,0,0,0,0,3,71,112,15,0,125,0,197,20,0,0,0,0,8,31,4389,151,19,0,167,20,4583
