LGA_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
LGA25060,24,67,142,462,156,1027,46,316,38,2268,244,902,671,1077,746,1205,152,454,88,5536,1707,5268,1624,1397,1960,1018,400,718,255,14358,2587,4392,1248,882,1972,787,436,531,232,13068,2511,3454,1235,984,2182,816,504,592,209,12494,1290,2308,728,583,1507,531,410,511,121,7980,242,474,212,118,327,127,110,169,47,1825,29,54,12,3,28,21,18,31,14,207,3,4,0,0,3,0,0,3,7,21,8640,16926,5876,5508,8884,5528,2072,3320,1008,57761
LGA25150,18,15,151,121,39,300,23,223,10,898,73,93,338,178,147,175,57,151,30,1235,243,481,542,297,339,184,238,227,39,2592,465,639,493,296,475,206,311,247,52,3192,513,583,535,422,599,225,395,283,58,3608,364,419,305,248,396,135,296,227,47,2436,150,88,44,46,71,33,61,62,25,578,32,11,7,0,4,3,3,10,6,74,6,0,0,0,0,3,0,4,5,13,1859,2320,2415,1611,2065,1263,1394,1424,268,14632
LGA25250,17,65,184,389,102,883,46,410,31,2125,340,1234,979,1640,997,1638,259,960,144,8199,2837,9682,3402,2676,3266,1906,933,1674,487,26870,3220,7396,2074,1401,2606,1000,717,854,282,19552,2202,4075,1570,1237,2340,828,727,917,195,14080,987,2144,872,712,1274,438,576,670,118,7784,166,389,162,141,209,104,138,184,45,1535,29,36,13,12,22,9,4,36,24,172,4,10,0,0,3,0,0,3,10,36,9805,25026,9261,8202,10822,6811,3384,5712,1332,80352
LGA25340,86,64,641,851,113,1452,66,785,70,4122,287,419,1488,1135,412,962,148,673,95,5612,1079,2028,2609,1347,1046,908,317,819,132,10293,2429,3069,2442,1399,1666,1148,498,985,193,13831,2862,3377,2537,1760,2281,1315,785,1298,246,16460,2020,2681,1774,1183,1912,1061,730,1139,179,12675,675,933,413,293,617,394,191,346,106,3974,99,119,31,14,61,38,14,54,26,469,11,17,5,0,10,3,0,0,19,66,9546,12711,11944,7988,8110,7278,2746,6108,1062,67498
LGA25430,3,7,48,65,8,127,9,120,11,389,22,31,119,68,26,69,16,110,5,466,111,179,184,92,72,55,45,160,11,912,217,429,192,149,120,80,61,126,21,1392,281,526,245,256,230,119,88,221,34,1992,284,477,218,200,219,102,102,214,26,1834,116,119,36,33,46,33,31,37,13,477,36,19,9,4,0,0,0,9,4,76,5,5,0,0,0,0,0,3,0,20,1081,1798,1042,869,728,583,344,993,117,7558
LGA25490,18,3,45,43,12,114,9,134,14,400,68,41,118,66,31,51,18,110,9,516,250,217,209,113,82,72,71,176,15,1199,413,295,190,111,169,81,91,163,20,1529,531,261,207,204,187,97,140,198,23,1852,503,217,139,151,136,77,153,210,32,1612,253,35,30,18,36,28,25,51,15,479,97,0,4,0,3,3,0,8,5,127,7,0,0,0,0,0,0,3,4,15,2134,1076,938,700,656,525,513,1051,140,7730
LGA25620,6,0,66,71,8,62,7,74,3,291,18,23,92,68,27,38,24,53,15,364,86,131,192,114,92,42,41,86,11,801,189,184,233,143,126,69,74,131,21,1163,245,208,258,173,174,89,107,184,28,1473,238,190,209,133,177,87,118,154,23,1341,154,58,35,26,45,26,25,36,8,416,49,13,0,4,3,0,3,7,7,84,14,4,0,0,4,0,0,0,3,24,997,818,1091,733,661,415,393,727,126,5954
LGA25710,24,42,256,402,108,711,40,367,32,1981,128,393,651,597,341,594,81,233,28,3042,489,1369,912,465,585,334,110,189,62,4512,1307,2213,889,538,964,346,156,215,83,6708,1659,2274,1070,757,1467,507,232,376,114,8454,1149,1696,743,511,1119,407,243,296,68,6240,260,425,152,97,244,97,74,113,16,1490,29,33,8,5,11,11,0,18,5,132,0,7,0,0,0,0,0,0,3,11,5059,8451,4689,3375,4836,3014,932,1812,412,32575
LGA25810,13,3,32,42,6,100,0,85,7,294,26,29,68,63,24,35,11,98,4,357,103,128,112,116,49,48,52,138,13,760,152,127,101,124,69,58,55,129,13,827,234,145,122,163,141,86,86,186,16,1180,239,125,105,148,97,67,93,156,28,1057,134,26,17,25,30,19,29,41,5,329,30,0,4,3,3,0,0,4,3,59,0,3,0,0,0,3,0,3,0,12,922,580,572,689,432,409,327,847,85,4859
LGA25900,9,46,35,243,38,297,16,131,14,826,265,916,409,945,602,752,86,261,73,4304,3185,8396,2005,1824,2472,1519,217,649,316,20579,3484,5672,931,850,1564,870,145,286,232,14031,2537,3582,608,582,1259,648,148,293,153,9806,1320,2377,348,324,834,336,146,225,98,5996,383,752,87,110,284,128,41,81,45,1912,36,80,13,10,26,10,7,8,14,211,7,15,3,0,3,3,0,3,3,39,11226,21832,4434,4884,7081,4568,798,1938,948,57705
LGA25990,7,0,25,16,0,38,3,30,0,124,16,8,31,27,11,18,5,36,10,166,58,62,75,31,18,16,25,50,3,337,109,61,64,49,58,29,49,58,5,486,149,69,71,84,89,26,59,73,11,631,152,85,70,64,70,38,67,106,14,662,102,20,22,16,14,18,11,23,10,223,19,0,0,0,0,0,0,0,3,29,7,0,0,3,0,0,4,0,0,13,615,298,360,290,269,180,230,369,55,2664
LGA26080,0,0,7,16,3,11,0,12,3,55,3,8,6,9,7,7,0,10,0,43,14,36,21,11,12,0,5,4,0,99,18,66,23,16,14,6,0,18,3,164,48,80,28,21,34,18,7,16,3,254,61,106,23,21,43,15,10,10,8,303,25,43,10,6,9,8,4,4,5,113,5,3,3,0,3,0,0,3,3,17,0,0,0,0,0,0,0,0,0,0,173,336,120,96,124,77,32,70,28,1046
LGA26170,23,6,105,99,18,236,13,162,6,668,65,42,213,127,52,120,37,125,15,795,278,286,382,177,157,124,131,246,21,1799,468,367,363,194,270,153,172,254,26,2274,609,413,408,289,355,197,251,384,39,2949,596,404,293,264,305,180,233,320,33,2634,372,100,66,46,84,45,50,93,19,878,119,4,4,4,9,0,3,12,11,165,16,0,0,0,0,0,0,3,3,25,2549,1637,1837,1197,1245,1052,892,1591,185,12184
LGA26260,14,7,56,56,16,147,5,109,9,418,49,55,124,83,32,70,23,79,0,510,181,247,227,84,92,90,61,123,8,1110,287,241,180,123,158,103,72,118,26,1304,365,273,214,185,240,121,112,168,13,1685,427,249,171,172,178,105,100,167,21,1593,223,56,35,43,37,25,27,52,16,520,58,8,3,4,3,0,3,10,3,86,15,0,0,0,3,0,0,0,5,25,1610,1134,1006,754,759,663,399,833,101,7250
LGA26350,23,64,46,429,105,400,12,173,18,1279,357,1362,431,1182,829,1099,76,347,100,5784,2902,8957,1475,1489,2282,1614,195,526,314,19742,2826,4765,630,557,1195,697,88,193,142,11098,2441,3499,448,465,1221,615,89,198,172,9138,1436,2512,287,315,890,414,97,199,103,6245,546,1150,104,99,391,221,39,80,79,2712,102,185,13,10,55,38,6,13,28,448,18,25,0,0,9,9,0,4,14,84,10659,22518,3429,4551,6971,5092,602,1722,976,56530
LGA26430,8,3,20,23,7,60,0,78,4,201,14,20,55,40,12,28,7,63,0,251,71,100,156,65,49,29,35,122,8,635,150,130,116,76,69,36,51,103,11,741,200,137,120,110,100,71,69,146,13,965,278,177,123,86,136,57,95,129,14,1094,167,57,22,24,19,17,13,43,10,380,59,3,0,0,3,0,3,3,11,89,15,0,0,0,0,3,0,0,0,19,960,621,616,440,397,305,271,684,74,4369
LGA26490,9,7,82,142,31,241,12,148,18,690,26,76,196,231,53,145,22,116,23,886,266,731,477,281,169,161,59,145,31,2318,648,988,485,269,379,232,106,181,46,3339,664,870,474,355,494,245,108,212,62,3489,468,670,316,217,323,196,115,196,35,2544,205,182,57,36,102,43,26,63,17,736,31,18,5,0,6,3,3,6,5,75,0,3,0,0,0,0,0,0,0,10,2327,3539,2090,1535,1556,1272,455,1079,232,14079
LGA26610,13,6,79,85,20,191,11,106,9,509,68,79,180,112,76,100,34,123,21,797,285,322,287,146,138,121,89,247,23,1658,306,264,198,138,208,127,103,201,38,1575,371,250,186,207,214,157,165,276,29,1851,364,221,169,156,217,136,133,224,35,1659,152,54,29,31,43,17,30,56,15,422,28,3,7,6,3,3,6,14,9,81,6,0,0,0,0,0,0,0,3,16,1597,1207,1131,876,916,840,562,1259,186,8568
LGA26670,3,3,20,17,0,45,0,31,0,130,12,11,31,14,16,17,6,23,3,138,41,54,69,42,30,25,14,44,3,329,94,69,71,28,40,25,33,40,5,411,136,108,94,60,95,30,60,75,12,667,200,103,73,56,61,29,53,69,9,651,183,26,18,11,12,3,9,19,3,290,43,0,0,0,3,3,0,3,4,58,6,0,0,0,0,0,0,0,4,14,715,381,370,235,253,166,180,321,48,2673
LGA26700,13,6,115,114,27,297,14,185,16,785,58,104,212,139,75,132,43,134,18,914,225,466,391,231,181,159,107,211,26,1991,352,535,381,293,302,203,163,231,42,2510,458,549,367,385,406,211,261,336,33,3015,455,488,253,296,361,178,227,291,28,2573,251,91,49,44,58,51,47,81,13,677,86,13,3,0,12,3,3,8,7,138,10,0,0,0,3,0,3,3,3,24,1910,2249,1767,1510,1413,1238,870,1480,184,12616
LGA26730,14,16,120,158,45,523,28,267,18,1198,82,166,298,246,107,313,75,292,19,1598,235,699,600,348,280,271,140,480,36,3082,382,731,455,342,365,219,159,319,32,3015,448,725,415,361,541,302,251,413,45,3502,316,511,278,307,384,231,200,352,30,2597,105,87,46,39,60,46,43,93,12,530,19,11,3,5,4,4,3,9,11,64,5,0,0,0,3,0,0,0,3,15,1598,2944,2215,1798,1786,1915,896,2221,218,15601
LGA26810,18,16,155,128,36,381,23,227,24,1000,115,137,364,227,97,188,78,207,21,1427,413,675,662,379,294,189,201,384,49,3257,600,633,582,357,367,230,241,354,42,3406,669,624,590,492,509,250,335,483,61,4011,685,603,461,407,431,240,295,490,56,3663,365,104,97,60,92,48,76,118,23,983,90,14,11,5,4,5,8,14,10,161,16,4,0,0,0,0,0,4,11,39,2976,2805,2915,2042,1833,1524,1259,2283,306,17944
LGA26890,7,3,9,5,0,10,4,25,0,72,20,10,26,10,7,7,5,29,0,122,65,61,31,19,23,5,13,49,3,277,103,35,28,18,34,10,17,29,3,280,194,47,30,41,32,15,30,57,9,460,171,48,25,32,18,14,31,65,10,408,100,12,6,9,15,4,6,18,3,182,46,0,0,0,4,0,3,4,0,57,3,0,0,0,0,0,0,0,0,8,716,226,159,154,126,80,104,279,23,1860
LGA26980,51,130,182,761,177,1336,46,627,43,3368,289,1204,853,1327,829,1588,215,761,109,7158,1805,6263,1902,1543,2143,1437,404,924,273,16705,3156,6640,1601,1060,2273,978,354,623,236,16921,3063,5254,1672,1341,2637,1091,532,821,246,16640,1628,3271,1096,947,1786,639,437,758,137,10699,365,873,249,227,481,224,117,238,55,2836,33,91,33,25,41,20,12,41,32,336,12,12,3,0,3,3,0,3,10,36,10401,23731,7587,7246,10375,7324,2118,4795,1133,74705
LGA27070,46,86,438,437,153,1781,80,772,76,3862,345,858,1474,1300,979,1892,485,1017,161,8517,2183,5147,4364,2736,3398,2090,1879,2022,438,24259,2723,4313,3226,2234,3370,1628,1904,1842,377,21625,2055,2374,2463,1919,3094,1466,1881,2012,319,17583,1056,1330,1404,1266,1827,822,1361,1507,167,10739,188,227,237,181,272,110,229,291,58,1794,29,17,20,6,16,9,9,36,8,148,3,3,5,0,3,3,3,3,9,31,8625,14359,13626,10081,13106,9794,7841,9506,1614,88550
LGA27170,28,21,234,212,58,433,30,225,22,1260,76,128,569,401,134,254,101,247,44,1947,346,821,845,563,419,353,269,391,51,4050,464,741,542,432,517,266,286,348,70,3674,540,674,465,436,618,297,354,419,70,3864,365,495,300,313,454,220,265,342,32,2779,79,77,70,49,83,56,76,66,20,562,13,9,7,0,4,0,3,11,4,52,4,0,0,0,0,3,0,0,0,14,1915,2959,3023,2395,2293,1884,1376,2039,303,18199
LGA27260,53,88,433,512,194,1682,136,793,70,3951,331,713,1341,1203,1015,1683,772,1096,168,8325,2696,6293,3785,3207,4255,2409,2939,2243,561,28383,3691,6440,3266,2861,4221,1767,2568,1893,486,27199,2423,2999,2323,2046,3274,1234,2349,1767,315,18724,1132,1467,1186,1010,1760,681,1444,1157,167,10003,207,235,183,137,288,128,221,249,47,1694,18,14,13,10,7,3,7,19,7,96,0,10,0,0,0,0,7,3,5,30,10544,18253,12536,10985,15013,9591,10435,9230,1826,98411
LGA27350,13,39,37,231,50,328,11,119,13,841,282,1127,357,1106,597,788,72,255,61,4637,3063,10203,1611,1811,2269,1468,212,517,356,21503,2442,4876,688,565,1098,489,150,271,186,10764,1534,2879,472,432,800,321,158,284,124,6999,899,1899,269,256,532,223,119,187,61,4440,257,678,75,68,184,54,25,56,36,1445,16,49,11,3,16,5,4,7,0,115,8,15,4,0,0,0,0,0,3,28,8520,21759,3517,4481,5543,3676,745,1697,843,50781
LGA27450,55,58,753,749,148,1390,69,918,62,4195,318,552,1726,1220,615,1079,266,842,105,6734,1357,2873,3505,1518,1751,1073,625,1128,211,14041,2440,3466,2743,1566,2110,997,797,1246,247,15617,2787,3053,2812,1840,2787,1165,1148,1464,290,17343,1928,2483,1896,1302,2100,902,938,1180,178,12909,547,683,366,253,471,244,235,328,67,3195,79,65,32,16,26,20,21,44,29,334,12,7,6,3,3,0,0,5,8,39,9521,13241,13842,8471,10010,6875,4093,7154,1199,74415
LGA27630,6,3,3,11,5,20,0,41,3,97,24,18,37,39,11,8,11,32,0,188,91,79,55,50,27,19,22,37,4,387,110,65,40,56,43,13,27,36,5,394,194,87,52,88,68,39,49,70,3,648,195,77,62,77,55,49,54,72,15,653,98,15,17,6,13,9,10,17,3,192,36,4,0,0,3,0,3,8,7,58,0,0,0,0,0,0,0,0,0,5,750,337,277,330,219,164,175,325,49,2626
LGA29399,0,0,0,3,0,3,0,9,0,22,3,3,13,19,4,3,12,17,3,76,21,9,12,23,10,14,12,36,3,140,19,17,4,11,7,6,4,5,3,80,17,3,7,10,3,0,5,3,0,50,18,5,0,5,0,0,3,6,0,40,13,3,0,0,0,0,0,0,0,19,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,93,44,44,76,23,36,42,73,11,440
LGA29499,6,0,9,15,0,16,4,10,0,64,20,28,35,79,16,31,9,66,5,289,52,183,113,99,60,39,48,104,13,726,38,74,62,38,33,21,55,51,20,386,36,52,37,26,23,17,48,44,14,300,22,53,30,19,26,10,30,28,5,215,5,4,3,4,9,4,3,0,0,42,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,178,405,297,277,182,134,200,307,57,2033
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,3,0,23
