SED_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
SED25802,99,257,175,117,147,34,11,838,13,17,5,8,10,0,3,55,6,3,5,0,8,4,0,29,169,382,284,216,351,92,37,1523,12,29,13,11,16,4,0,93,21,44,19,13,15,4,3,120,32,76,38,24,32,7,3,208,200,460,319,238,384,99,34,1737,389,362,188,117,150,50,4,1253,5,9,5,0,0,0,0,23,592,829,510,359,536,151,40,3012
SED25905,78,154,129,98,138,53,27,680,5,5,4,5,6,0,0,31,9,5,7,3,5,3,9,38,141,296,240,207,313,155,84,1438,14,16,18,9,21,8,4,96,29,32,24,12,11,6,4,111,42,44,43,20,32,7,10,207,184,343,276,230,343,164,101,1645,282,260,129,88,167,63,36,1029,9,3,3,3,3,0,0,22,477,611,412,324,516,229,135,2697
SED26005,122,234,177,144,177,78,27,953,18,16,8,10,8,5,0,56,3,6,9,0,7,0,3,35,226,457,362,304,472,213,102,2122,20,23,20,12,23,7,13,116,26,40,26,12,17,0,3,119,45,64,41,31,38,6,14,233,268,516,407,327,512,216,112,2356,367,327,195,134,182,89,56,1350,8,6,6,3,3,0,0,25,644,851,606,468,697,306,170,3735
SED26102,106,242,194,123,160,39,18,878,9,14,7,3,9,0,3,46,0,6,4,0,9,0,0,23,153,347,288,207,299,86,44,1416,7,14,10,6,11,0,0,50,8,38,22,11,3,3,0,83,17,50,35,14,14,7,4,137,166,394,317,226,311,91,44,1555,221,200,96,77,75,17,4,694,4,16,3,6,7,0,0,33,393,608,418,314,388,112,54,2279
SED26207,60,135,125,82,115,72,34,630,8,3,3,5,4,0,0,30,5,6,3,8,7,10,3,41,107,262,215,195,285,181,115,1358,0,9,3,6,8,10,4,35,6,22,19,10,16,3,3,77,6,28,18,14,23,12,4,116,118,293,238,209,303,187,125,1475,104,96,63,51,64,27,27,439,0,0,0,3,3,0,3,6,221,395,305,262,366,220,151,1920
SED26303,80,133,86,64,86,46,21,514,13,7,3,3,4,4,5,34,0,4,3,3,4,0,0,11,130,261,185,138,199,124,75,1113,3,11,3,3,8,0,9,37,3,7,9,8,6,0,0,35,7,19,8,7,17,0,11,74,136,276,194,149,218,125,89,1185,90,82,57,38,51,27,24,371,0,0,0,0,4,0,3,10,226,363,250,189,270,151,114,1568
SED26406,43,107,82,59,88,56,31,471,8,7,3,0,4,3,0,35,3,3,3,7,0,0,0,18,91,237,177,138,203,142,97,1091,3,12,5,6,9,11,0,49,7,11,9,4,3,5,3,39,9,20,15,12,12,11,4,88,106,253,194,152,219,157,104,1181,81,98,55,34,50,36,36,392,0,0,3,0,0,0,0,7,191,358,252,181,265,194,138,1578
SED26504,123,238,128,110,123,33,5,771,20,12,11,10,13,4,0,67,4,8,3,4,4,0,0,20,182,375,237,205,262,57,10,1328,11,37,21,9,9,0,0,89,15,31,17,7,9,0,0,81,22,63,39,22,15,3,0,169,205,440,274,226,279,63,10,1497,270,240,137,95,104,21,4,875,11,14,6,4,3,0,0,48,492,696,417,325,383,79,21,2421
SED26603,85,163,112,74,91,79,25,617,5,9,8,4,5,8,3,47,3,7,0,7,7,0,3,30,146,305,235,170,245,178,74,1348,3,20,13,9,14,6,3,72,6,25,12,11,14,8,3,76,15,43,26,16,27,16,4,144,161,347,264,183,268,190,79,1491,172,170,132,83,124,57,33,772,5,9,6,7,6,0,0,31,338,526,401,275,394,245,114,2298
SED26708,110,196,145,101,157,27,13,748,11,13,13,0,4,3,0,43,0,6,7,4,3,0,0,16,159,291,252,170,280,63,20,1236,3,9,6,8,16,4,0,56,11,27,12,9,3,0,0,63,16,42,20,15,20,4,0,117,177,330,276,191,302,67,20,1352,258,229,117,84,68,14,6,780,4,8,3,4,3,0,0,22,440,565,394,272,371,82,27,2155
SED26806,38,77,48,47,53,45,30,336,8,4,0,0,0,0,0,20,0,0,0,4,7,0,3,14,100,178,102,90,145,126,83,823,0,6,3,4,4,4,0,30,7,17,7,3,4,3,4,45,10,21,10,4,10,11,9,77,106,203,118,94,157,135,88,902,100,101,54,41,58,41,27,430,0,0,0,0,0,0,0,0,209,304,175,139,214,175,115,1327
SED26903,91,164,134,73,115,63,27,672,10,10,7,0,0,3,3,35,0,3,0,0,0,0,0,10,172,272,226,129,227,134,81,1252,8,21,23,11,10,10,8,80,14,23,8,13,11,3,5,91,21,48,33,27,21,18,13,168,193,321,259,160,247,146,94,1417,270,244,127,102,114,64,42,977,8,4,5,5,0,0,0,20,471,568,394,265,363,218,141,2417
SED27003,53,95,56,56,70,42,26,399,5,8,9,4,3,6,3,37,3,0,0,0,9,3,0,17,100,192,132,115,148,116,79,893,8,12,6,10,21,7,12,72,14,34,13,12,24,14,4,113,23,43,26,15,41,15,17,187,127,237,161,136,191,132,96,1078,313,272,130,94,118,76,44,1053,13,0,9,3,4,0,0,23,452,505,296,229,315,206,140,2150
SED27101,62,145,106,85,125,72,40,626,6,0,3,0,0,3,0,14,4,7,6,4,3,0,3,28,112,237,228,195,284,183,113,1352,0,12,14,10,8,6,0,50,11,29,7,10,9,7,5,72,13,36,19,11,16,8,6,120,128,277,244,210,299,191,118,1474,142,127,77,66,87,44,18,562,0,4,0,3,0,0,0,8,273,405,324,282,388,235,144,2046
SED27208,90,195,138,102,141,27,16,702,15,14,13,9,11,0,0,65,0,7,4,3,8,3,0,23,127,326,226,196,276,64,24,1232,10,27,26,12,12,3,3,87,12,45,18,17,11,0,0,99,21,66,37,27,23,6,3,188,151,394,261,222,298,70,21,1421,340,292,162,135,115,30,4,1074,4,0,3,3,0,0,0,15,492,689,433,354,412,97,29,2504
SED27305,56,150,106,87,108,48,20,580,8,3,3,3,10,4,3,33,0,5,6,3,3,6,0,26,101,253,202,176,302,156,85,1268,4,0,3,0,3,3,3,19,4,14,7,4,10,4,3,50,10,13,16,3,19,8,3,72,113,270,215,179,316,165,87,1339,97,84,51,37,51,36,34,393,0,0,8,4,0,3,0,15,204,355,274,218,375,205,119,1748
SED27406,34,125,90,80,109,54,25,526,4,4,9,5,5,4,0,29,3,5,6,3,3,3,5,24,74,247,197,171,255,162,90,1198,0,6,3,3,5,12,4,32,3,18,13,11,8,0,0,52,3,23,19,14,13,12,4,82,75,274,214,185,274,170,96,1281,72,63,44,40,39,21,15,302,0,0,0,0,0,0,0,3,150,335,254,225,310,191,114,1587
SED27504,131,275,186,130,195,42,5,962,21,16,7,4,12,7,3,72,0,13,6,4,8,0,0,34,222,456,333,250,431,94,27,1806,13,30,17,13,12,7,0,101,42,66,35,17,19,6,0,178,52,96,54,33,35,12,3,285,278,551,382,280,461,107,25,2095,499,437,227,146,154,35,16,1511,7,16,14,4,3,0,0,44,781,1003,620,430,618,150,42,3648
SED27608,137,200,159,114,151,55,29,849,9,12,4,3,14,0,4,45,0,3,5,3,0,3,0,17,202,342,279,219,322,144,77,1581,7,19,14,14,3,0,0,64,6,17,20,5,11,0,0,67,16,40,35,26,22,0,3,132,211,381,306,246,342,147,81,1718,138,160,92,51,70,29,11,550,0,6,4,0,5,3,0,15,353,554,406,297,415,176,88,2286
SED27708,122,242,184,130,186,47,6,913,17,11,11,8,15,0,0,68,0,10,8,3,5,0,0,22,179,374,315,223,373,88,21,1577,4,22,9,14,13,3,0,59,9,45,25,12,19,7,0,116,13,65,37,27,26,8,0,170,193,436,345,250,395,95,21,1744,328,279,125,84,83,25,3,920,10,7,3,0,4,3,0,31,532,726,474,339,483,119,26,2700
SED27807,91,178,120,133,137,67,37,770,16,4,3,7,5,4,0,37,10,12,14,6,21,8,3,74,214,369,258,232,310,175,113,1677,35,68,39,33,39,32,18,266,32,75,55,30,42,20,14,268,69,143,95,59,83,54,30,537,283,514,352,297,399,224,142,2216,574,530,272,224,259,138,99,2095,22,19,13,11,7,6,3,82,881,1069,642,530,666,371,246,4390
SED27907,121,220,148,100,138,40,32,802,19,6,6,7,9,3,3,56,6,9,4,6,7,8,0,52,209,384,278,228,327,149,94,1675,4,15,3,7,14,3,0,49,17,30,16,10,5,3,0,83,22,45,18,18,23,11,0,133,232,432,294,250,347,162,95,1805,261,223,134,81,102,39,21,859,6,5,6,4,0,0,0,19,497,657,435,334,451,199,110,2684
SED28007,103,202,137,94,142,75,46,796,8,10,9,10,3,4,3,49,4,3,8,0,4,3,4,31,167,387,308,218,378,199,122,1775,19,15,18,11,17,17,3,98,14,50,30,20,33,12,3,161,37,68,40,35,44,21,4,256,202,452,352,254,424,220,129,2029,242,239,122,79,117,65,26,892,4,10,4,4,6,3,0,32,450,702,481,339,539,291,157,2955
SED28107,145,244,160,106,134,63,29,878,26,15,5,4,8,4,5,56,17,24,13,9,9,11,7,79,349,533,375,268,367,207,106,2208,33,65,39,27,32,15,7,217,41,69,35,12,32,16,3,203,70,133,81,40,66,29,7,425,414,672,451,314,435,239,116,2633,533,508,246,159,195,80,32,1744,19,9,3,6,3,3,0,46,965,1183,699,477,635,315,145,4427
SED28203,97,182,110,102,116,52,24,690,17,8,3,0,0,6,3,39,7,8,7,0,3,0,0,28,191,324,219,190,248,126,70,1370,19,31,13,18,12,16,4,111,15,31,23,16,16,6,3,109,35,60,33,32,31,21,6,217,232,384,249,220,278,151,77,1588,338,349,219,145,156,93,57,1352,11,12,5,8,6,0,0,40,569,746,480,378,438,241,135,2981
SED28301,42,111,113,75,106,79,46,561,3,0,0,4,0,5,4,21,0,5,3,0,4,4,3,17,84,197,195,148,226,187,105,1142,8,12,0,3,8,4,3,31,6,8,7,4,7,3,3,41,12,24,5,7,15,8,3,70,94,216,202,156,237,200,109,1214,84,110,74,46,74,65,35,494,0,0,0,0,0,0,0,7,176,329,277,206,314,267,151,1712
SED28408,120,297,188,99,180,38,19,944,13,20,8,7,5,4,0,59,6,8,11,3,9,0,0,34,177,428,327,204,373,123,36,1662,11,44,29,11,11,3,0,117,30,66,27,22,24,5,0,183,46,114,53,34,36,9,3,299,218,540,382,235,407,132,42,1960,362,299,160,122,110,33,11,1096,6,12,0,0,5,0,0,22,585,849,543,360,520,165,54,3079
SED28507,136,268,172,111,133,64,27,903,23,7,8,5,3,0,0,49,10,7,10,7,12,4,0,45,285,472,343,246,360,187,74,1961,16,45,29,20,26,11,0,143,30,74,51,25,14,10,3,204,46,121,75,39,41,15,7,347,333,592,419,284,393,210,81,2307,511,495,262,173,198,72,33,1738,15,20,8,3,6,3,0,58,863,1105,691,455,598,281,114,4109
SED28607,77,173,85,61,111,61,29,599,4,8,0,3,0,3,0,21,5,0,3,4,0,0,3,15,160,363,215,169,291,154,77,1425,9,10,9,7,7,10,6,57,10,24,24,8,21,3,4,90,18,29,28,16,26,13,7,146,172,396,244,189,316,169,86,1569,156,167,94,62,80,45,24,625,3,3,4,0,3,0,3,13,331,563,341,248,405,215,115,2209
SED28704,151,290,232,139,173,69,31,1085,23,15,13,8,10,6,3,81,12,10,4,0,0,0,0,29,292,540,421,321,421,186,87,2266,10,23,18,7,12,0,0,84,21,48,22,10,13,4,0,120,37,77,44,20,20,10,0,202,329,615,460,338,442,196,88,2470,425,374,199,96,103,40,18,1257,9,8,3,0,0,0,0,25,767,997,665,435,548,233,107,3754
SED28803,128,240,175,131,182,63,30,952,10,6,11,3,3,3,3,44,3,13,11,6,6,6,0,43,253,441,359,268,411,186,101,2014,18,31,22,9,17,16,3,121,30,41,33,19,30,15,6,169,48,76,50,34,44,28,6,291,303,516,410,296,453,220,113,2301,488,456,259,173,201,103,47,1723,3,20,4,5,0,0,0,33,794,980,669,474,658,320,162,4056
SED29494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
