SED_CODE_2016,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
SED22607,17,1783,154,1959,113,3420,235,3773,34,1584,93,1703,30,2352,161,2543,47,5441,520,6001,73,4323,370,4766,109,3938,307,4353,131,3148,245,3523,173,1793,152,2119,239,760,93,1087,280,216,46,538,1235,28758,2370,32366,18,1713,136,1871,51,3320,201,3573,17,1705,110,1833,40,2391,182,2610,51,5924,523,6502,61,4682,380,5119,96,4175,291,4561,174,3386,259,3817,223,1890,153,2265,482,974,120,1574,549,304,60,919,1757,30466,2415,34640,36,3500,292,3822,162,6740,433,7339,52,3288,200,3536,72,4749,341,5157,97,11365,1045,12508,135,8998,748,9881,203,8120,600,8918,299,6536,506,7344,397,3679,306,4380,715,1730,207,2659,832,523,102,1457,2991,59232,4784,67008
SED22704,40,1569,160,1770,186,3363,263,3814,77,1855,157,2090,56,1527,134,1716,98,2581,380,3058,106,2868,369,3346,188,3775,407,4365,291,4252,470,5011,361,3505,372,4235,300,1582,211,2092,219,407,76,704,1923,27278,3003,32200,14,1430,134,1583,91,3259,278,3625,43,1661,149,1849,40,1313,128,1479,56,2696,241,3001,115,3116,317,3544,205,4074,375,4658,321,4224,439,4984,350,3314,394,4055,411,1555,248,2214,446,455,110,1007,2093,27091,2815,31997,56,3004,297,3354,281,6617,543,7443,118,3516,304,3944,99,2836,262,3191,154,5280,620,6054,219,5979,683,6885,388,7854,784,9026,605,8479,908,9996,713,6815,766,8296,711,3137,462,4307,664,856,184,1706,4012,54377,5816,64201
SED22802,38,1682,71,1792,234,3394,140,3764,72,1894,91,2061,61,1714,104,1878,81,3445,164,3688,69,3393,176,3637,113,3628,181,3924,120,3039,170,3325,194,2263,136,2594,157,915,72,1149,122,176,40,339,1261,25557,1345,28158,13,1692,50,1759,94,3415,140,3646,47,1854,79,1975,43,1608,90,1738,78,3573,168,3816,79,3545,178,3800,137,3896,210,4241,146,3282,168,3594,179,2385,154,2715,231,985,88,1311,231,203,75,510,1278,26430,1394,29105,51,3378,122,3553,326,6814,276,7416,119,3746,170,4040,111,3323,190,3617,156,7013,331,7499,140,6941,353,7436,249,7518,395,8163,265,6315,335,6920,365,4650,293,5306,394,1906,166,2456,357,377,119,851,2538,51988,2735,57261
SED22901,27,1586,61,1674,144,3030,107,3275,69,1684,57,1807,46,1802,64,1907,65,3544,132,3738,79,3394,175,3646,89,3448,137,3677,128,3407,153,3688,189,2381,118,2683,244,960,65,1269,224,252,48,522,1301,25480,1108,27887,18,1480,69,1566,74,2866,91,3025,35,1635,50,1720,39,1682,50,1772,71,3605,144,3822,75,3587,152,3807,125,3757,123,4008,184,3866,156,4199,241,2574,160,2978,423,1094,101,1623,585,413,51,1051,1866,26555,1146,29563,41,3065,129,3236,218,5891,191,6302,100,3313,107,3524,82,3481,113,3679,133,7144,276,7553,151,6981,324,7455,217,7206,264,7677,308,7269,305,7883,430,4957,278,5664,667,2055,167,2891,810,671,97,1579,3160,52027,2256,57447
SED23007,25,2460,225,2713,133,3372,273,3777,56,1781,157,1989,58,3738,328,4124,104,8799,740,9642,131,5807,522,6457,179,4089,372,4636,290,3165,278,3731,350,1868,195,2409,413,801,129,1348,253,200,55,513,1990,36073,3278,41338,20,2303,244,2566,75,3355,243,3676,41,1855,135,2031,38,3271,257,3569,92,8058,693,8841,102,5362,454,5919,222,4052,361,4642,340,3225,273,3840,455,1877,209,2544,634,857,140,1630,503,247,78,830,2525,34465,3092,40082,44,4760,469,5281,207,6731,523,7455,95,3633,295,4025,101,7009,577,7689,197,16860,1428,18480,234,11161,973,12372,399,8141,732,9275,628,6392,552,7571,808,3740,405,4952,1047,1657,273,2971,756,447,136,1342,4517,70534,6365,81421
SED23101,19,1513,74,1597,121,3450,101,3671,44,1834,32,1916,40,1949,74,2068,53,3197,154,3412,53,3539,143,3737,75,3517,135,3722,99,2925,125,3153,217,2521,123,2864,288,1591,96,1978,252,395,27,676,1271,26437,1087,28795,7,1416,54,1474,66,3266,104,3436,30,1709,54,1795,33,1723,58,1812,38,3179,126,3351,75,3957,126,4154,104,3849,144,4098,147,3359,142,3650,250,3062,143,3445,497,1804,106,2406,576,514,105,1190,1826,27832,1150,30810,27,2923,120,3068,189,6715,204,7104,76,3547,85,3705,76,3673,130,3876,98,6380,284,6758,129,7495,274,7895,181,7370,274,7827,251,6287,266,6807,470,5585,263,6316,785,3391,204,4385,825,907,127,1865,3095,54273,2241,59610
SED23205,42,1755,151,1950,200,3077,222,3503,81,1553,124,1761,60,1718,145,1928,107,3533,350,3989,133,3430,284,3848,160,3515,294,3965,199,3176,286,3664,270,2359,210,2840,279,1154,119,1548,252,325,48,620,1776,25606,2235,29615,25,1667,128,1822,106,2983,230,3312,41,1563,123,1729,51,1743,176,1967,93,3706,332,4136,148,3563,273,3983,220,3720,311,4250,262,3454,299,4010,289,2749,256,3297,397,1417,173,1989,558,421,91,1075,2188,26982,2388,31563,68,3423,275,3770,304,6062,451,6821,125,3122,244,3491,106,3462,327,3890,202,7238,684,8119,281,6995,559,7833,381,7233,602,8213,457,6626,588,7676,558,5111,461,6131,674,2572,292,3534,813,745,136,1696,3966,52588,4626,61181
SED23308,35,1762,111,1911,209,3005,181,3402,79,1583,89,1748,56,2063,131,2251,110,4027,323,4462,103,3465,247,3820,165,3515,297,3972,202,3229,228,3654,242,2165,199,2603,250,1083,120,1455,295,354,73,724,1747,26248,1998,29995,16,1679,130,1829,85,2987,181,3260,53,1548,104,1702,53,2141,186,2370,80,4306,296,4679,117,3711,252,4083,195,3891,306,4389,257,3602,261,4124,257,2635,219,3104,407,1523,174,2105,630,506,103,1244,2160,28523,2209,32889,56,3437,249,3739,302,5995,368,6663,129,3130,194,3454,112,4196,314,4622,196,8333,615,9141,221,7172,502,7894,354,7410,601,8358,455,6835,484,7777,497,4796,414,5708,658,2608,296,3562,926,866,180,1966,3906,54770,4208,62886
SED23402,46,2455,142,2650,256,4314,234,4800,69,2305,140,2511,48,2054,127,2228,70,4008,244,4323,89,4142,245,4484,101,4321,289,4706,116,3383,218,3716,177,2154,150,2478,169,1028,94,1287,143,250,30,422,1296,30406,1905,33606,24,2280,132,2436,124,4220,211,4559,58,2121,120,2290,46,2141,133,2317,72,4421,262,4754,96,4395,263,4756,118,4562,278,4953,157,3504,234,3888,200,2325,169,2695,255,1050,98,1402,327,303,51,685,1470,31317,1942,34736,72,4733,275,5080,382,8533,443,9358,123,4422,258,4802,88,4192,262,4542,143,8430,506,9073,189,8538,510,9237,219,8883,563,9661,273,6885,449,7606,375,4480,315,5175,429,2078,191,2691,473,547,84,1104,2764,61725,3855,68345
SED23502,30,1375,123,1531,199,2979,258,3437,88,1440,122,1651,42,1144,134,1318,77,2230,228,2536,102,2432,262,2800,183,3073,341,3592,267,3901,369,4545,383,3932,442,4754,296,1792,204,2288,229,349,97,669,1894,24646,2576,29116,13,1380,148,1537,106,2941,268,3309,51,1351,123,1522,39,1050,113,1205,57,2465,242,2767,86,2679,274,3041,157,3506,336,4002,278,4204,387,4873,317,3733,396,4450,355,1749,258,2368,448,418,170,1029,1909,25470,2716,30099,49,2754,266,3069,308,5916,523,6743,134,2792,246,3174,83,2193,255,2527,134,4698,472,5299,191,5112,537,5839,343,6580,672,7590,547,8107,762,9409,697,7667,838,9200,654,3540,462,4653,673,765,264,1701,3806,50118,5291,59212
SED23602,22,1513,129,1657,163,3034,268,3466,80,1507,120,1701,49,1131,186,1368,85,2346,554,2980,83,2604,499,3189,149,3253,429,3831,228,3592,404,4225,303,3088,333,3722,246,1298,197,1736,182,350,53,588,1590,23712,3163,28463,5,1355,142,1498,67,3028,269,3366,33,1385,97,1513,38,1039,100,1182,60,2568,237,2859,111,2756,255,3129,199,3438,317,3952,235,3897,372,4502,271,3034,340,3648,305,1405,179,1885,440,416,91,945,1766,24315,2399,28478,21,2870,264,3159,231,6064,537,6831,108,2887,212,3209,90,2173,291,2549,140,4912,787,5841,199,5362,760,6318,354,6685,747,7781,461,7491,774,8728,578,6121,680,7378,547,2703,374,3624,620,767,137,1529,3356,48026,5560,56943
SED23702,44,2084,117,2236,232,3940,233,4410,87,2299,120,2508,41,2317,142,2494,89,3784,246,4109,109,3763,256,4129,154,4311,321,4789,206,3776,279,4265,240,2578,214,3032,215,1051,115,1382,145,193,29,367,1559,30083,2073,33711,14,1787,120,1921,131,3941,213,4280,47,2053,123,2220,46,2087,122,2259,82,4055,260,4398,120,3992,267,4382,178,4792,323,5289,260,4018,282,4565,260,2714,237,3212,256,1130,118,1502,280,208,55,541,1675,30789,2109,34573,56,3871,238,4160,368,7883,441,8693,129,4351,245,4721,85,4406,261,4757,168,7832,505,8505,227,7751,525,8502,336,9098,639,10074,466,7797,564,8828,501,5294,451,6244,468,2184,229,2887,425,404,82,911,3237,60866,4182,68282
SED23806,20,1524,77,1621,98,3470,134,3707,19,1949,101,2072,36,2834,173,3043,47,5375,405,5823,42,3800,224,4067,61,3579,207,3848,56,2893,159,3111,100,2128,128,2355,163,962,112,1240,153,260,38,449,801,28772,1766,31335,9,1432,84,1522,43,3386,143,3570,17,1951,89,2057,24,2805,178,3009,34,5658,375,6069,48,4213,252,4519,67,4119,221,4406,82,3264,192,3543,141,2488,187,2809,282,1116,127,1522,488,378,110,978,1234,30807,1946,33996,25,2961,158,3142,144,6858,283,7277,41,3897,196,4130,62,5639,353,6055,84,11026,780,11886,91,8011,477,8586,127,7695,433,8252,142,6157,355,6654,238,4611,310,5162,448,2080,241,2764,645,639,145,1424,2034,59584,3712,65331
SED23901,22,1909,125,2054,138,3484,177,3802,46,1677,98,1822,36,1861,122,2013,76,4013,265,4355,77,4040,278,4389,130,3766,265,4160,155,3243,207,3609,189,2254,184,2624,262,1122,129,1506,270,375,100,747,1395,27745,1946,31088,7,1833,124,1966,63,3453,170,3684,30,1661,107,1800,31,1767,115,1904,54,4169,282,4508,85,4305,252,4640,142,4141,241,4528,196,3434,217,3847,226,2514,201,2949,394,1395,179,1965,598,473,195,1271,1840,29147,2080,33061,34,3747,248,4020,199,6937,346,7483,75,3342,203,3621,64,3623,238,3919,135,8179,547,8864,166,8342,526,9035,280,7908,506,8692,354,6680,427,7462,420,4772,385,5571,659,2511,306,3471,864,845,299,2014,3235,56892,4021,64148
SED24006,12,1299,56,1366,97,3976,197,4270,49,2412,90,2548,27,2305,105,2430,37,3160,197,3401,48,3011,189,3242,82,4218,267,4560,88,3418,226,3729,109,2321,161,2591,224,1147,87,1455,292,402,57,750,1054,27661,1634,30353,5,1227,58,1292,41,3807,142,3988,35,2371,92,2494,29,2150,99,2276,35,3233,209,3471,46,3736,198,3987,83,4898,258,5239,93,3672,235,4005,169,2561,185,2923,375,1345,127,1846,660,499,111,1271,1568,29511,1710,32794,15,2526,114,2657,135,7786,340,8261,76,4783,179,5042,50,4454,200,4703,72,6399,406,6873,94,6745,392,7231,164,9113,521,9800,179,7088,468,7731,282,4885,344,5517,598,2494,216,3306,957,899,167,2018,2624,57180,3347,63146
SED24105,19,2145,131,2290,139,4122,187,4445,64,2244,86,2396,53,2504,131,2684,58,4971,275,5300,86,4332,213,4625,153,4134,210,4503,276,3375,197,3843,289,2421,173,2886,302,990,85,1381,211,194,30,444,1643,31429,1725,34794,15,2115,133,2258,72,3886,192,4141,19,2075,81,2179,31,2317,112,2463,63,4980,233,5275,103,4689,235,5028,187,4145,177,4513,344,3442,186,3976,356,2552,155,3063,502,979,95,1579,489,270,65,826,2181,31455,1661,35300,32,4258,265,4551,207,8007,376,8591,83,4325,166,4573,81,4820,244,5146,118,9950,510,10581,190,9021,444,9647,338,8283,392,9010,621,6815,380,7820,641,4977,332,5951,808,1962,185,2960,704,472,97,1267,3827,62889,3385,70098
SED24207,48,3277,241,3569,255,5710,407,6373,72,2513,176,2758,53,2502,290,2840,98,5592,738,6430,141,6318,632,7091,172,4588,417,5175,316,3292,290,3903,386,1951,193,2537,230,599,66,898,102,82,20,205,1872,36427,3470,41772,23,3063,234,3325,104,5674,375,6151,47,2484,160,2685,33,2403,235,2674,80,6090,527,6704,138,6506,519,7164,259,4619,418,5292,385,3456,292,4127,417,1873,210,2508,362,565,83,1005,212,103,21,336,2061,36823,3082,41965,75,6340,481,6893,361,11381,780,12521,118,4994,331,5441,89,4904,528,5514,176,11679,1266,13126,278,12821,1145,14249,428,9204,840,10469,704,6744,578,8032,803,3828,408,5041,592,1161,153,1909,312,185,43,539,3930,73252,6550,83732
SED24308,48,1837,150,2038,300,3544,276,4120,108,2035,162,2307,65,1976,251,2299,124,3642,655,4415,143,3487,559,4186,192,3581,453,4224,273,3130,344,3745,369,2271,237,2879,326,1050,151,1524,187,253,94,531,2132,26803,3333,32271,19,1850,128,1993,124,3538,253,3915,68,1997,129,2198,61,1973,162,2202,89,3906,313,4315,140,3688,267,4097,251,3808,295,4348,303,3321,320,3946,323,2568,232,3124,514,1216,198,1930,471,343,205,1012,2367,28210,2506,33090,61,3687,284,4029,426,7086,525,8035,182,4037,292,4506,126,3951,418,4495,217,7548,970,8732,283,7176,825,8286,447,7387,743,8579,578,6453,665,7694,692,4840,471,6003,835,2264,348,3451,651,595,295,1545,4497,55015,5841,65358
SED24408,29,1486,107,1618,151,3151,195,3498,66,1561,87,1715,50,1281,71,1404,79,2423,211,2712,86,2494,211,2788,172,3285,265,3722,232,3751,285,4260,253,2958,267,3482,266,1516,161,1946,260,406,78,743,1646,24307,1940,27886,3,1329,100,1428,82,3009,194,3279,48,1426,97,1575,28,1167,79,1267,70,2554,177,2803,93,2692,217,3001,181,3518,256,3955,240,3741,292,4269,224,2979,277,3483,369,1694,169,2232,596,594,143,1328,1929,24705,1990,28622,27,2811,205,3044,233,6156,387,6780,116,2988,186,3292,76,2445,154,2678,149,4976,392,5521,172,5182,428,5784,351,6805,519,7678,469,7492,574,8531,482,5936,545,6960,642,3212,325,4179,850,998,218,2067,3573,49008,3927,56512
SED24504,21,1562,133,1710,147,3597,223,3969,50,1613,117,1784,34,1198,99,1329,58,2047,152,2255,65,3199,281,3550,92,3911,341,4348,156,3717,326,4202,224,2905,285,3412,182,1027,135,1341,140,212,46,399,1176,24988,2139,28304,17,1538,114,1664,61,3527,259,3847,28,1535,98,1655,25,1088,76,1185,50,2221,165,2437,70,3701,313,4083,129,4232,335,4696,177,3883,323,4380,179,2898,289,3370,248,954,135,1335,326,240,149,714,1299,25810,2253,29367,39,3093,245,3373,211,7122,485,7814,81,3144,215,3435,59,2286,176,2515,106,4268,315,4692,131,6900,593,7628,221,8140,684,9044,333,7598,648,8577,406,5806,571,6788,434,1976,269,2679,465,453,194,1118,2479,50801,4395,57672
SED24606,23,1340,64,1429,72,3082,135,3282,24,1543,68,1637,13,2152,114,2286,26,4203,285,4524,20,3292,218,3535,56,3349,221,3630,61,2749,171,2986,88,2214,170,2470,180,1119,133,1426,217,356,55,629,783,25414,1635,27834,11,1254,64,1334,38,3090,145,3268,18,1583,82,1684,23,2542,147,2710,36,4488,326,4850,46,3654,223,3924,57,3842,203,4102,83,3106,206,3397,120,2547,160,2837,336,1305,158,1802,513,445,109,1068,1279,27859,1828,30966,32,2596,130,2757,106,6167,277,6553,40,3129,148,3320,34,4695,266,4990,67,8693,611,9369,68,6949,443,7460,112,7195,423,7734,145,5858,376,6383,212,4762,332,5304,513,2425,292,3227,734,800,168,1697,2067,53267,3464,58802
SED24703,19,1656,230,1904,53,1879,226,2152,32,3700,390,4120,36,10713,1251,12006,58,15938,2197,18198,83,5850,954,6892,87,3345,561,3987,118,2579,446,3138,134,1739,296,2169,169,584,113,867,126,160,48,330,915,48140,6715,55777,12,1642,242,1894,32,1760,181,1982,15,4971,491,5476,29,13112,1377,14519,79,16210,1957,18242,70,5431,744,6236,86,3562,516,4160,144,2707,397,3248,167,1761,243,2173,260,603,120,977,265,148,55,472,1157,51899,6317,59374,33,3297,472,3799,82,3640,407,4128,42,8669,884,9601,70,23821,2631,26519,143,32148,4152,36440,151,11278,1697,13124,170,6898,1078,8150,265,5286,840,6394,301,3500,541,4340,427,1185,231,1848,394,306,103,807,2072,100045,13036,115150
SED24808,67,3070,243,3378,422,4973,402,5798,124,2266,158,2551,98,2259,168,2519,159,5127,402,5689,178,4935,393,5504,245,4100,333,4681,309,3429,282,4023,395,2383,233,3013,232,717,93,1042,135,136,21,295,2376,33394,2732,38496,40,2947,263,3253,199,5087,400,5682,69,2167,137,2377,70,2296,182,2552,135,5670,467,6270,199,5067,375,5641,265,4283,335,4884,403,3854,303,4560,387,2484,239,3102,341,784,117,1243,325,189,40,553,2430,34838,2863,40129,107,6016,509,6634,616,10059,800,11476,198,4437,292,4930,167,4551,349,5076,296,10794,868,11961,372,10008,768,11151,514,8390,670,9565,712,7281,592,8582,783,4869,468,6121,576,1502,209,2284,460,321,62,849,4802,68227,5588,78622
SED24904,41,1747,164,1955,216,3588,327,4129,80,1866,154,2101,55,1545,197,1797,84,3251,412,3749,123,3008,302,3431,196,3525,403,4125,277,3626,433,4340,363,2620,360,3347,331,1181,182,1695,263,319,79,657,2023,26274,3019,31313,10,1722,169,1905,102,3548,259,3908,40,1736,172,1942,31,1559,168,1758,78,3374,372,3828,106,3229,308,3644,198,3718,363,4277,268,3574,416,4259,314,2621,321,3249,474,1398,244,2116,561,407,127,1095,2183,26883,2919,31987,53,3471,334,3855,317,7131,591,8042,117,3601,322,4042,85,3100,362,3558,160,6628,789,7580,228,6237,609,7072,392,7239,762,8399,546,7202,849,8592,679,5235,682,6597,806,2578,432,3811,820,724,207,1752,4201,53156,5940,63296
SED25003,34,2351,146,2534,196,4349,222,4759,81,2170,89,2335,45,2344,124,2516,76,4861,285,5220,124,4530,243,4891,149,4260,210,4620,241,3187,170,3594,300,1639,101,2040,309,604,55,971,218,85,18,319,1769,30370,1662,33800,25,2215,118,2355,93,4140,187,4418,43,2053,102,2196,34,2291,127,2450,73,5017,294,5389,122,4744,226,5096,197,4709,239,5148,294,3378,205,3881,330,1714,110,2149,475,583,82,1138,429,112,25,572,2114,30965,1709,34782,57,4566,263,4885,287,8487,412,9181,122,4223,194,4533,80,4633,249,4969,154,9880,577,10607,247,9270,469,9984,347,8963,450,9767,533,6566,376,7473,627,3353,209,4189,785,1190,134,2110,652,198,46,892,3881,61329,3367,68583
SED25102,24,1669,90,1781,178,3576,167,3925,85,1731,80,1898,51,1628,88,1767,70,2854,166,3089,67,3571,211,3851,97,3856,220,4171,134,3609,210,3957,145,2337,185,2674,147,744,66,958,138,166,27,334,1139,25748,1523,28413,17,1547,88,1653,94,3348,155,3606,41,1675,71,1789,30,1497,70,1604,68,2909,163,3138,76,3850,185,4114,121,4049,248,4425,138,3729,226,4089,180,2308,165,2655,220,741,79,1042,308,191,47,544,1299,25844,1511,28652,41,3217,180,3432,276,6927,323,7530,126,3405,152,3682,80,3128,161,3370,138,5763,330,6229,147,7416,402,7960,217,7908,471,8598,278,7339,433,8051,326,4650,358,5332,370,1480,147,1999,450,355,80,880,2443,51589,3027,57063
SED25205,21,1904,90,2010,166,3834,149,4154,43,1665,66,1772,39,1651,96,1787,61,3272,206,3539,74,4286,263,4624,112,4253,259,4617,115,3187,209,3514,162,1986,132,2285,237,1086,130,1450,239,317,59,614,1267,27441,1661,30369,18,1814,89,1921,62,3736,160,3959,35,1662,66,1761,29,1463,78,1568,58,3567,230,3850,94,4733,253,5078,115,4600,244,4965,156,3375,212,3750,229,2455,164,2844,366,1338,157,1862,474,452,111,1033,1624,29196,1780,32592,32,3718,174,3931,231,7565,311,8113,73,3321,137,3538,63,3117,178,3362,118,6839,432,7391,168,9016,518,9705,226,8851,505,9582,268,6569,425,7266,390,4439,298,5127,603,2427,283,3312,711,761,173,1644,2890,56632,3441,62960
SED25302,30,1609,53,1687,137,4060,176,4371,58,1808,100,1964,35,1307,58,1403,45,1926,117,2091,49,3374,172,3589,93,3997,233,4327,87,3260,218,3563,187,3088,206,3480,284,1720,151,2150,266,433,48,747,1272,26578,1526,29378,11,1485,66,1557,70,3904,177,4147,37,1806,92,1933,23,1119,65,1213,45,2143,121,2306,55,3932,215,4200,122,4355,208,4682,129,3742,209,4078,226,3806,274,4305,387,1950,163,2501,669,490,83,1235,1760,28722,1668,32155,32,3090,121,3245,204,7963,350,8524,96,3614,192,3899,64,2426,121,2610,90,4070,239,4399,108,7301,382,7796,217,8350,441,9006,219,6995,423,7637,410,6897,477,7783,668,3664,314,4651,932,925,124,1979,3035,55303,3195,61529
SED25402,30,1858,163,2047,232,3532,313,4080,103,1766,146,2015,76,1799,188,2067,105,3416,330,3851,126,3171,277,3570,226,3574,351,4158,278,3666,381,4326,326,2601,273,3203,287,1148,168,1602,217,290,74,575,1998,26815,2667,31488,12,1714,133,1864,120,3521,253,3894,57,1693,147,1898,58,1859,194,2110,113,3725,371,4208,156,3378,296,3835,226,3793,372,4394,292,3843,346,4473,313,2696,278,3281,453,1303,235,1992,504,336,128,973,2316,27866,2749,32928,47,3570,296,3912,357,7049,567,7972,162,3457,294,3917,131,3658,387,4174,216,7140,699,8054,281,6552,573,7410,459,7374,726,8553,573,7502,721,8802,631,5296,553,6481,738,2454,395,3596,723,624,202,1546,4311,54680,5419,64414
SED25501,6,1388,57,1450,94,3736,123,3956,48,2262,97,2405,35,2314,112,2464,41,3455,149,3643,44,3429,154,3629,61,4034,184,4284,104,3022,154,3285,145,2152,114,2410,267,1643,120,2024,252,487,59,792,1110,27915,1326,30352,7,1253,55,1318,50,3554,134,3746,24,2039,75,2140,23,1993,96,2109,43,3302,159,3503,62,4076,157,4291,98,4389,179,4665,98,3309,129,3539,208,2598,143,2947,433,1901,146,2478,458,481,85,1025,1501,28894,1355,31752,17,2638,106,2763,147,7291,259,7700,73,4306,167,4545,58,4315,205,4572,89,6755,309,7150,110,7507,311,7926,162,8419,367,8949,203,6327,291,6818,353,4752,253,5354,696,3540,263,4505,708,967,141,1814,2606,56815,2680,62096
SED25605,29,1698,106,1829,104,3124,147,3371,41,1721,73,1829,41,2173,113,2327,71,4454,245,4771,73,3722,215,4011,131,3609,219,3954,160,3005,193,3361,277,2615,167,3064,386,1362,127,1871,275,285,46,605,1578,27768,1651,30997,16,1618,102,1734,48,3061,151,3256,24,1573,73,1663,17,1835,89,1939,53,4193,225,4479,83,3702,194,3981,153,3665,195,4017,231,3394,190,3816,347,2876,193,3420,580,1290,117,1994,639,328,119,1086,2195,27536,1650,31379,43,3314,206,3565,150,6191,292,6636,60,3292,140,3495,58,4003,203,4261,127,8648,475,9247,160,7422,407,7992,280,7271,419,7965,393,6402,380,7176,623,5495,358,6479,963,2655,244,3867,914,609,173,1692,3768,55306,3299,62373
