POA_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
POA3902,37,8,0,0,0,0,0,40
POA3903,58,0,3,0,0,0,0,57
POA3904,81,15,4,0,0,0,0,94
POA3909,568,52,25,3,0,0,11,662
POA3910,2605,260,148,26,5,0,11,3053
POA3911,362,38,26,8,0,0,0,434
POA3912,1678,171,108,15,0,3,7,1987
POA3913,350,43,26,0,0,0,0,427
POA3915,761,111,66,18,0,0,3,959
POA3916,84,3,0,0,0,0,0,96
POA3918,423,45,17,3,3,0,0,487
POA3919,299,25,20,10,0,0,3,361
POA3920,31,4,6,0,0,0,0,42
POA3921,9,3,0,0,0,0,0,9
POA3922,542,31,36,5,0,0,3,617
POA3923,34,3,0,0,0,0,0,37
POA3925,290,19,20,0,0,0,0,334
POA3926,346,28,13,3,0,0,3,390
POA3927,155,13,3,0,0,0,0,175
POA3928,47,0,0,0,0,0,0,43
POA3929,75,5,0,0,0,0,0,81
POA3930,2396,146,52,12,0,0,3,2614
POA3931,2084,198,97,23,3,0,11,2420
POA3933,127,10,7,0,0,0,0,154
POA3934,2319,159,89,10,4,0,6,2579
POA3936,862,105,42,8,0,0,6,1020
POA3937,170,9,5,0,0,0,0,182
POA3938,234,23,8,0,0,0,3,273
POA3939,1138,104,68,8,0,0,6,1327
POA3940,254,29,12,3,0,0,0,306
POA3941,1032,100,49,6,5,0,3,1192
POA3942,143,12,3,0,0,0,3,163
POA3943,74,3,0,0,0,0,0,82
POA3944,15,0,0,0,0,0,0,12
POA3945,93,5,3,0,0,0,0,104
POA3946,13,4,0,0,0,0,0,21
POA3950,396,40,26,3,0,0,0,463
POA3951,106,12,5,0,0,0,0,115
POA3953,722,64,33,3,0,0,9,837
POA3954,48,0,3,0,0,0,0,48
POA3956,199,11,11,3,0,0,0,229
POA3957,36,5,0,0,0,0,0,39
POA3958,27,3,0,0,0,0,0,30
POA3959,107,0,4,0,0,0,0,113
POA3960,173,17,13,0,0,0,0,201
POA3962,62,7,3,0,0,0,0,80
POA3964,10,0,3,0,0,0,0,12
POA3965,11,0,0,0,0,0,0,15
POA3966,39,3,0,0,0,0,0,43
POA3967,7,0,0,0,0,0,0,12
POA3971,278,37,23,3,0,0,0,339
POA3975,2458,111,59,44,0,0,8,2682
POA3976,3233,178,105,92,7,7,12,3641
POA3977,11758,873,636,176,21,10,41,13516
POA3978,1445,105,75,16,0,3,3,1646
POA3979,39,0,0,0,0,0,0,48
POA3980,362,48,19,3,0,0,3,434
POA3981,520,61,36,7,0,0,0,632
POA3984,371,52,32,7,0,0,4,461
POA3987,170,7,11,0,0,0,0,197
POA3988,102,9,5,3,0,0,0,121
POA3990,8,0,0,0,0,0,0,8
POA3991,29,9,3,0,0,0,0,40
POA3992,83,3,5,0,0,0,3,100
POA3995,761,71,57,10,0,0,7,900
POA3996,419,17,21,7,0,0,0,465
