SSC_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SSC20726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11
SSC20727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,3,0,0,3,3,15
SSC20728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,0,19
SSC20729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,4,0,4,0,11
SSC20730,0,0,0,0,0,0,0,0,0,5,0,3,0,3,0,0,0,0,3,8,3,26,22,23,15,30,22,84,3,227
SSC20731,0,5,3,3,3,5,3,0,0,28,4,3,4,0,7,10,7,3,5,41,45,125,106,107,179,170,107,98,14,963
SSC20732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,9,3,6,16,3,14,0,68
SSC20733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,11
SSC20735,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,11,27,30,25,33,39,12,21,8,204
SSC20736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,3,0,7,0,24
SSC20737,3,27,12,14,21,22,17,8,3,120,6,24,12,16,56,31,3,14,69,226,121,349,337,384,977,820,304,364,122,3786
SSC20738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,3,3,0,29
SSC20739,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,3,7,3,20,10,19,14,27,14,39,4,148
SSC20740,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,8,3,10,7,5,9,10,3,25,4,83
SSC20741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,11
SSC20742,0,7,6,7,11,6,0,7,0,51,0,4,3,3,7,4,0,3,7,35,24,90,64,72,129,148,59,124,22,738
SSC20743,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,10,3,23,18,17,18,27,17,30,0,158
SSC20744,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,4,14,14,11,12,16,6,17,0,89
SSC20745,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,16,6,6,6,18,10,29,3,97
SSC20746,3,44,26,42,53,62,25,35,7,295,9,26,22,14,34,54,13,42,30,255,202,869,693,736,1024,1348,631,952,78,6536
SSC20747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,12,7,3,3,4,11,0,43
SSC20748,0,7,3,4,15,13,10,7,0,69,4,6,5,7,10,9,7,5,23,79,53,142,144,162,306,280,130,163,44,1420
SSC20749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,3,3,4,4,23,0,47
SSC20750,3,0,0,0,10,0,0,0,0,18,3,3,3,3,7,3,0,3,9,29,26,60,62,74,114,117,50,88,14,607
SSC20751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,5,4,8,9,7,29,3,87
SSC20752,8,27,14,20,46,48,21,37,4,226,6,23,20,16,35,47,12,26,33,226,143,698,558,548,918,987,504,719,74,5146
SSC20753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,5,6,3,7,9,0,49
SSC20754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,4,15,10,17,10,18,3,95
SSC20755,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,10,4,8,11,11,4,22,0,70
SSC20756,0,0,0,0,3,0,0,0,0,11,0,3,0,0,0,0,0,3,0,9,9,16,30,24,18,30,11,39,3,173
SSC20757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15
SSC20758,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,3,4,7,6,11,7,14,3,19,0,70
SSC20759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,3,9,3,0,0,27
SSC20760,5,8,20,7,24,30,11,28,0,133,14,25,15,12,35,51,16,40,55,256,196,396,514,410,939,1917,541,894,86,5898
SSC20761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,7
SSC20762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,6,3,0,3,8,0,7,0,27
SSC20763,0,4,3,0,0,4,4,0,0,15,0,0,3,0,4,3,0,3,3,20,10,34,30,45,47,54,16,35,5,275
SSC20764,0,4,3,0,0,9,0,0,0,21,0,0,0,0,4,3,3,0,4,16,27,73,59,71,80,87,54,85,12,550
SSC20765,9,48,35,33,65,58,38,28,3,324,22,50,41,29,66,71,24,50,95,458,233,1181,1053,975,1770,1857,770,1026,194,9062
SSC20766,6,67,60,52,106,85,34,54,7,464,16,47,46,49,83,109,25,63,115,552,321,1719,1411,1422,2365,2631,997,1501,224,12588
SSC20767,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,6,4,9,8,5,10,6,12,0,75
SSC20768,7,23,32,32,35,37,22,35,3,218,3,32,31,32,39,34,14,40,52,274,177,833,653,631,860,1081,483,901,87,5708
SSC20769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,10
SSC20770,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,5,0,6,6,17,15,22,25,19,5,32,3,138
SSC20771,0,0,0,4,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,12,17,12,20,26,22,13,24,4,150
SSC20772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,5,0,22
SSC20773,15,71,50,46,101,90,50,54,3,478,12,51,37,25,70,85,28,51,91,452,416,1175,1046,1065,1979,2162,1089,1452,182,10571
SSC20774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,3,0,3,3,15
SSC20775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,3,8,0,11,0,41
SSC20777,0,18,12,12,31,34,7,13,0,132,13,27,21,27,81,47,19,12,72,315,78,340,279,385,864,571,255,215,125,3100
SSC20778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,3,0,0,8,0,30
SSC20779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,3,4,4,3,20
SSC20780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4,5,3,6,9,0,44
SSC20781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,11,0,22
SSC20782,3,15,14,13,18,20,3,15,3,103,9,18,16,20,24,29,3,17,17,149,99,354,260,368,387,421,192,320,50,2451
SSC20783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
SSC20784,6,33,32,33,52,40,31,47,0,266,17,28,19,21,30,42,12,33,52,248,197,670,487,583,870,884,509,685,101,4993
SSC20785,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,4,6,13,11,7,6,23,9,14,0,86
SSC20786,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,5,15,3,14,18,16,28,22,20,52,7,169
SSC20787,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,4,0,0,0,9,5,26,22,20,22,31,8,32,3,167
SSC20788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,3,0,3,0,3,0,17
SSC20789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,9,12,3,10,12,0,38,6,85
SSC20790,0,0,3,0,0,0,0,0,0,12,0,0,0,0,3,0,0,3,4,13,9,39,29,29,42,52,17,42,4,265
SSC20791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,3,0,4,0,18
SSC20792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,15,12,19,9,19,8,14,3,105
SSC20793,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,12,11,14,13,11,3,13,0,75
SSC20794,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,4,6,6,11,21,15,9,23,3,92
SSC20795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,3,0,0,15
SSC20796,0,6,5,6,14,13,9,9,0,76,11,17,11,3,3,11,5,8,18,86,80,260,233,221,274,295,138,219,50,1761
SSC20797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,21
SSC20798,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,3,0,0,3,11,14,32,29,21,17,22,6,43,3,190
SSC20799,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,7,0,4,3,11,0,4,4,15,3,48
SSC20800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,8,0,17
SSC20801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,7,3,0,0,0,20
SSC20802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,9,0,17,0,28
SSC20803,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,9,10,43,37,28,31,55,32,63,3,308
SSC20804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,7,0,17
SSC20805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,11
SSC20806,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,7,10,8,24,16,15,18,13,6,19,5,120
SSC20807,0,0,0,0,3,0,3,0,0,4,0,3,0,3,3,3,3,0,3,16,8,28,37,30,39,38,16,27,4,221
SSC20808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,3,5,5,0,14,0,38
SSC20809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
SSC20810,0,0,0,0,3,0,4,3,0,13,0,0,0,0,0,0,0,0,0,4,8,29,21,25,36,30,18,29,5,199
SSC20811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,5,6,11,0,39
SSC20812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,3,0,14
SSC20813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20814,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,13,10,6,7,11,0,7,0,53
SSC20815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,12,3,21
SSC20816,0,0,3,0,0,3,0,0,0,11,0,3,3,0,4,0,0,0,3,16,36,47,56,58,67,68,33,58,7,434
SSC20817,3,11,10,7,15,12,12,10,0,85,9,9,0,6,9,13,5,7,29,83,101,319,239,275,452,359,204,233,49,2236
SSC20818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
SSC20819,4,7,4,11,10,11,3,10,0,62,3,12,3,9,6,18,0,11,13,72,46,290,226,225,213,373,158,427,23,1976
SSC20820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,0,6,9,3,0,11,0,44
SSC20821,0,0,0,0,3,5,3,3,0,17,3,0,0,0,3,4,0,3,8,27,22,59,52,65,66,66,36,46,8,423
SSC20822,0,6,3,5,14,10,7,4,0,51,0,4,0,0,4,12,3,5,6,37,27,127,95,117,209,166,81,116,13,947
SSC20823,4,9,9,7,12,13,9,12,0,73,0,0,0,3,6,6,3,7,14,54,80,252,265,245,350,351,231,259,34,2059
SSC20824,3,8,9,13,12,7,14,8,3,65,0,10,6,5,9,26,20,32,11,115,110,249,237,245,421,639,381,695,44,3025
SSC20825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,4,17,8,37,0,69
SSC20826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,4,8,3,10,3,11,0,41
SSC20827,0,0,0,3,11,3,5,4,0,23,3,3,0,3,3,5,0,0,6,21,20,56,38,57,73,53,21,40,9,366
SSC20828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,5,0,0,0,0,3,3,19
SSC20829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,4,0,8
SSC20830,3,9,4,3,0,4,0,4,3,39,4,3,0,0,5,12,0,6,10,45,48,121,107,144,182,165,97,154,12,1042
SSC20831,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,3,6,3,13,7,12,4,8,0,63
SSC20832,7,40,23,30,76,47,21,41,0,276,18,24,11,18,33,43,15,36,72,268,276,790,600,795,1102,986,602,880,122,6162
SSC20833,0,0,7,0,0,3,0,3,0,16,3,0,0,0,0,0,3,3,3,16,7,29,38,34,30,53,27,35,10,260
SSC20834,0,0,0,0,0,3,3,0,0,7,0,0,0,0,0,0,0,0,3,6,17,32,28,15,34,30,19,42,6,229
SSC20835,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,4,0,15,4,6,9,8,8,63,3,116
SSC20836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,9,8,3,6,13,3,44
SSC20837,0,5,4,5,3,6,6,12,0,29,0,3,0,0,0,7,0,3,5,34,21,64,77,79,75,106,57,97,11,595
SSC20838,0,3,3,3,4,0,0,3,0,16,3,0,0,0,0,3,0,0,4,7,20,50,30,54,53,62,20,76,13,382
SSC20839,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,8,3,4,4,3,3,17,0,43
SSC20840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,5,5,7,0,12,0,40
SSC20841,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,6,8,9,5,4,3,13,0,52
SSC20842,5,10,9,17,20,15,10,13,0,100,0,13,9,7,29,32,5,12,17,124,76,317,279,323,506,581,306,460,30,2887
SSC20843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,15,18,8,11,16,7,19,0,88
SSC20844,0,0,0,0,3,0,0,3,0,7,0,0,0,4,0,0,3,3,9,14,11,48,45,38,58,48,27,52,12,340
SSC20845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,16,8,11,10,12,3,24,3,92
SSC20846,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,12,8,20,23,7,28,39,15,16,0,158
SSC20847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,6,5,5,0,26
SSC20848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,3,0,12,0,32
SSC20849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,4,4,5,3,19,0,49
SSC20850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20851,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,11,10,15,9,16,8,20,0,94
SSC20852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,4,7,12,8,8,12,10,29,3,89
SSC20853,0,8,3,4,15,11,0,9,0,54,0,9,0,0,8,4,0,7,13,46,55,209,165,153,277,208,139,208,18,1433
SSC20854,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,9,4,11,16,13,13,19,12,31,3,122
SSC20855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,5,7,11,3,14,0,61
SSC20856,0,8,0,0,0,0,0,3,0,14,0,0,0,0,0,5,0,0,0,12,15,40,27,43,39,49,26,63,5,298
SSC20857,0,0,0,0,3,0,0,4,0,8,0,0,0,0,0,0,3,0,0,13,11,32,31,33,40,49,21,50,3,271
SSC20858,0,21,20,19,33,24,20,30,3,166,5,22,13,16,18,44,8,34,41,209,159,572,557,535,797,1101,572,1008,84,5392
SSC20859,7,54,39,53,55,67,28,51,3,354,12,43,35,29,42,62,27,65,45,364,286,1315,1116,1142,1394,1811,923,1480,123,9584
SSC20860,0,25,14,22,23,26,7,17,0,135,3,19,9,10,13,19,3,18,27,126,116,564,434,447,510,678,366,579,50,3747
SSC20861,6,37,27,34,65,48,26,50,0,296,8,23,24,33,33,75,34,57,56,351,291,748,728,937,1491,2071,1201,1875,126,9461
SSC20862,3,23,14,11,23,36,7,10,0,128,4,23,10,7,18,31,16,16,18,139,107,388,303,332,467,517,276,429,42,2870
SSC20863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,3,0,12
SSC20864,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,14,26,26,35,23,38,19,14,0,194
SSC20865,9,60,40,53,112,88,40,34,4,452,18,56,40,50,145,131,26,64,126,668,308,1252,1038,1253,2689,2270,893,1022,265,10991
SSC20866,0,0,0,4,0,0,0,0,0,8,0,0,0,0,3,3,0,0,0,7,9,27,28,32,43,39,24,25,3,233
SSC20867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6
SSC20868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,4,4,12,7,11,0,53
SSC20870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,12
SSC20871,0,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0,0,3,3,12,20,38,38,39,52,46,28,43,7,311
SSC20872,7,63,71,60,138,109,39,57,4,536,28,84,67,60,214,134,51,54,185,870,420,1543,1504,1662,3640,2843,1111,1262,373,14358
SSC20873,5,10,11,3,15,7,13,14,0,81,6,10,0,5,12,11,8,7,14,75,129,227,192,237,475,351,226,242,38,2122
SSC20874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,5,3,9,3,9,0,42
SSC20875,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,7,12,3,12,16,9,7,17,0,85
SSC20876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20877,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,15,12,9,7,17,9,23,0,93
SSC20878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
SSC20879,4,28,41,31,67,44,29,45,4,302,10,48,45,22,49,76,29,49,96,406,353,1319,1188,1099,1780,2222,1102,1745,182,10990
SSC20880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20881,0,10,10,0,9,11,4,9,0,53,0,4,5,3,17,4,5,7,9,56,31,160,148,130,297,376,169,218,23,1560
SSC20882,3,3,3,5,4,5,0,10,0,25,3,3,0,0,3,0,3,6,4,24,32,97,68,70,105,133,69,128,11,708
SSC20883,0,3,3,3,9,6,3,3,0,29,3,8,3,10,19,14,7,3,12,71,17,84,70,84,194,133,55,56,23,719
SSC20884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,3,12,5,11,0,44
SSC20885,0,0,0,3,0,0,0,5,0,8,0,0,0,0,5,0,0,0,0,5,10,40,25,38,54,44,7,22,7,241
SSC20886,3,3,6,8,17,8,6,9,0,51,6,7,4,5,7,7,5,3,12,56,59,182,138,159,214,192,111,180,34,1267
SSC20887,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,11,15,23,15,15,10,19,3,109
SSC20888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,6,10,8,0,10,0,38
SSC20889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10
SSC20890,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,5,4,15,15,10,10,11,5,25,0,98
SSC20891,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,8,13,13,10,9,6,22,0,80
SSC20892,0,0,0,0,0,4,0,3,0,9,0,0,0,0,0,0,0,0,0,4,4,3,5,6,8,14,0,13,6,54
SSC20893,0,4,5,3,3,14,5,5,0,40,0,0,0,3,15,11,4,3,5,49,66,107,104,127,269,327,166,216,13,1401
SSC20894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,15
SSC20895,0,14,16,15,15,21,17,12,0,115,4,6,12,12,23,20,10,17,34,143,110,402,377,399,620,640,396,532,66,3543
SSC20896,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,35,23,13,19,22,8,18,0,138
SSC20897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,10
SSC20898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,0,16,3,45
SSC20899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,5,5,17,28,19,19,54,3,151
SSC20901,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,5,10,14,8,12,4,16,0,73
SSC20902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,7,0,4,0,11,0,32
SSC20903,3,28,21,18,57,39,14,21,3,194,8,32,31,24,52,46,15,16,102,335,151,567,604,558,1113,967,333,454,185,4937
SSC20904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14
SSC20905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,12
SSC20906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,7,7,10,6,12,4,11,0,53
SSC20907,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,8,11,5,14,11,8,13,7,7,0,77
SSC20908,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,4,3,0,5,3,5,0,23
SSC20909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,5,0,11
SSC20910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20911,16,66,46,54,107,121,62,80,3,555,19,66,43,40,155,125,40,65,115,669,457,1523,1297,1528,2769,2700,1273,1499,231,13272
SSC20912,0,3,4,4,8,7,0,9,0,32,3,4,6,3,4,7,3,6,3,41,29,107,87,92,117,130,78,121,9,782
SSC20913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,7
SSC20914,0,4,0,3,0,0,0,0,0,9,0,4,3,0,0,0,0,0,4,18,11,38,43,34,25,37,20,45,7,270
SSC20915,0,6,0,0,0,0,0,0,0,6,0,3,8,0,0,0,0,0,7,16,21,55,47,35,29,41,20,101,16,368
SSC20916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7
SSC20917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,14
SSC20918,3,10,8,16,43,31,19,10,0,146,3,21,13,18,35,50,17,42,55,252,199,495,415,522,840,1099,690,1077,90,5427
SSC20919,4,30,20,26,42,25,21,20,8,205,6,23,27,26,22,51,26,42,37,261,203,722,638,789,1056,1404,862,1281,83,7038
SSC20920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,3,7,3,10,0,7,3,43
SSC20921,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,4,6,5,5,3,3,0,31
SSC20922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20923,3,12,13,11,22,18,6,10,4,84,3,18,16,11,28,15,12,15,31,154,98,411,346,378,609,668,312,447,72,3331
SSC20924,0,0,0,3,0,4,0,0,0,3,0,3,4,0,0,0,0,3,4,17,19,65,56,42,42,48,35,68,11,384
SSC20925,3,13,5,9,12,4,6,11,0,62,3,9,3,3,10,5,0,4,8,44,89,374,229,206,318,261,143,167,39,1819
SSC20926,0,0,0,0,7,3,0,0,0,18,0,0,0,0,3,0,0,3,3,16,12,30,35,38,52,39,26,26,6,256
SSC20927,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,14,8,7,14,10,13,19,4,90
SSC20928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4
SSC20929,7,35,41,31,72,36,16,14,0,266,16,44,46,33,57,56,23,34,84,391,226,902,1128,871,1693,1596,741,921,158,8246
SSC20930,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,11,6,6,4,16,3,10,3,55
