author_name,author_links,nationality,nationality_llm
Osamu Soda,https://en.wikipedia.org/w/index.php?title=Osamu_Soda&action=edit&redlink=1,99999,Japanese
Helen Fielding,https://en.wikipedia.org/wiki/Helen_Fielding,British,British
Philip Pullman,https://en.wikipedia.org/wiki/Philip_Pullman,British,British
Yoshiki Tanaka,https://en.wikipedia.org/wiki/Yoshiki_Tanaka,Japanese,Japanese
Alexander McCall Smith,https://en.wikipedia.org/wiki/Alexander_McCall_Smith,"British, Zimbabwean",Scottish
Marcus Pfister,https://en.wikipedia.org/wiki/Marcus_Pfister,Swiss,Swiss
Raymond E. Feist,https://en.wikipedia.org/wiki/Raymond_E._Feist,American,American
Timothy Zahn,https://en.wikipedia.org/wiki/Timothy_Zahn,American,American
Andrzej Sapkowski,https://en.wikipedia.org/wiki/Andrzej_Sapkowski,Polish,Polish
Kazuo Iwamura [ja],https://en.wikipedia.org/w/index.php?title=Kazuo_Iwamura&action=edit&redlink=1,99999,Japanese
