CED_CODE_2016,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_Nthern_Ireland_0_4,M_Nthern_Ireland_5_14,M_Nthern_Ireland_15_24,M_Nthern_Ireland_25_44,M_Nthern_Ireland_45_54,M_Nthern_Ireland_55_64,M_Nthern_Ireland_65_74,M_Nthern_Ireland_75_84,M_Nthern_Ireland_85ov,M_Nthern_Ireland_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot
CED224,0,6,10,93,25,31,28,17,6,208,0,7,4,70,66,94,193,182,88,708,0,11,22,34,8,4,9,3,0,89,5,31,56,125,40,11,4,3,0,272,0,0,5,4,24,4,8,4,7,61,3,54,214,406,215,240,161,57,16,1366,0,0,0,0,3,14,14,7,4,45,0,0,4,26,5,10,3,3,0,60,0,0,0,4,3,5,0,5,0,18,0,0,24,36,0,4,0,0,0,65,0,12,9,30,18,23,30,17,9,150,15,85,160,398,188,158,89,31,15,1147,0,3,4,15,11,8,7,5,4,53,5,6,32,68,13,14,5,0,0,138,0,0,3,24,15,5,0,0,0,48,3,19,17,95,23,13,5,0,3,180,0,0,6,24,4,30,22,18,20,121,0,7,12,56,45,39,57,21,14,242,10,57,59,114,36,37,34,15,0,371,0,21,55,154,87,58,50,17,4,437
CED225,0,11,0,50,43,32,22,22,10,192,0,0,5,21,50,89,113,83,25,398,0,3,4,8,0,4,6,0,0,32,0,21,12,67,28,5,5,0,0,148,0,0,5,29,30,19,7,7,0,104,5,36,43,84,61,33,23,3,3,289,0,0,0,5,9,22,33,15,4,89,0,7,17,119,96,89,44,19,3,393,0,0,0,10,0,0,0,0,0,15,0,0,3,16,3,0,0,0,0,29,0,6,5,38,43,125,184,102,25,523,19,150,161,408,283,180,84,26,0,1315,0,3,3,26,27,23,24,22,0,122,3,37,45,97,45,20,6,0,0,258,0,0,0,8,11,0,0,0,0,25,12,31,43,146,87,32,9,0,0,360,0,0,4,57,40,60,31,15,10,212,3,10,26,73,119,130,111,57,21,549,8,32,30,37,31,24,8,3,0,178,5,49,97,181,149,84,44,21,6,634
CED226,0,15,17,105,31,18,26,14,3,223,3,14,10,70,109,228,290,208,67,994,0,13,8,30,10,0,0,0,0,64,13,45,31,179,42,19,7,4,0,341,3,17,47,283,111,39,37,6,0,556,37,108,99,459,127,109,42,11,0,1000,0,3,9,45,70,206,216,92,10,652,0,17,30,175,34,26,19,4,0,309,8,52,177,526,168,91,48,19,9,1096,0,14,31,170,15,8,8,0,0,243,0,9,3,28,14,35,49,21,3,156,148,779,707,1449,491,321,99,30,3,4026,0,5,6,23,20,20,30,15,3,124,46,131,144,784,94,30,9,0,3,1238,3,4,8,23,16,3,0,0,0,54,21,241,399,1128,529,264,80,14,6,2682,0,3,3,98,32,67,48,11,0,258,4,19,18,73,123,117,106,39,13,511,20,106,77,175,88,46,7,6,0,531,7,81,78,220,128,55,29,9,0,604
CED227,0,3,0,11,3,3,11,4,10,49,0,6,4,21,26,85,142,137,64,478,0,0,6,6,0,0,0,0,0,20,0,4,18,26,0,0,0,0,0,47,0,0,0,3,0,3,0,0,0,9,4,8,64,140,16,7,3,0,0,243,0,0,0,0,3,6,9,3,0,23,0,0,0,3,0,0,3,0,0,8,0,0,13,35,13,3,3,0,0,64,0,0,7,22,0,0,0,0,0,27,0,0,3,12,8,38,72,22,7,168,5,30,57,117,87,63,64,11,4,438,0,3,0,7,0,8,11,0,0,24,0,7,6,41,6,3,3,0,0,70,0,0,0,3,7,3,0,0,0,15,5,38,41,79,29,10,3,0,0,207,0,0,0,5,0,8,10,4,0,30,0,0,0,15,20,28,41,15,7,124,0,0,0,3,0,3,0,0,0,10,3,7,20,35,23,10,12,0,0,114
CED228,3,12,3,112,27,17,29,11,11,225,3,8,31,122,145,409,718,698,319,2458,0,8,3,22,13,3,3,0,0,52,0,11,22,80,14,7,3,4,0,140,3,5,9,50,80,46,40,24,5,262,25,48,46,212,46,56,24,6,0,472,0,0,8,20,57,239,484,275,54,1133,0,0,6,56,11,15,9,3,0,106,5,50,82,211,33,18,4,0,0,404,3,10,92,211,5,9,0,0,0,330,3,0,0,10,11,21,37,20,10,111,41,156,219,449,142,83,37,11,0,1142,0,0,0,7,5,9,10,6,3,48,11,28,168,570,22,12,6,0,0,814,0,4,6,9,5,8,0,0,0,30,16,72,99,374,153,114,61,18,4,909,0,0,3,41,24,59,34,35,39,238,0,4,3,33,33,38,45,20,4,177,3,15,12,59,20,7,10,0,3,125,0,5,14,76,20,11,7,0,0,134
CED229,0,17,9,88,40,31,28,14,3,227,0,11,23,58,155,315,359,146,43,1113,0,4,3,5,0,6,0,0,0,25,3,7,12,34,3,7,0,0,0,65,0,8,6,122,52,38,27,10,3,259,3,20,40,97,51,26,19,6,0,257,0,0,10,28,42,139,156,51,6,430,0,7,3,56,15,16,6,0,0,113,0,0,0,8,3,3,0,0,0,16,0,9,16,91,3,0,0,0,0,120,0,4,0,18,24,37,90,31,15,222,46,282,253,585,274,167,79,26,8,1728,0,0,3,19,23,17,25,7,0,106,26,47,40,233,41,19,8,0,0,415,0,0,3,17,16,3,0,0,0,41,10,74,115,293,117,63,12,3,0,690,0,3,4,22,16,21,18,9,5,93,0,15,10,60,69,90,97,48,6,387,5,27,43,50,36,19,4,3,0,187,3,37,48,137,79,32,21,11,0,365
CED230,3,9,3,45,19,24,20,37,8,164,0,6,4,18,34,69,154,111,35,425,0,9,4,9,4,0,0,0,0,26,0,0,4,26,3,0,0,0,0,37,0,3,0,6,3,9,3,0,0,24,3,7,5,39,17,3,5,0,0,89,0,0,3,4,9,29,83,28,10,167,0,5,19,65,37,33,12,5,0,187,0,0,3,18,4,0,0,0,0,27,0,3,0,19,3,0,0,0,0,23,3,0,3,29,32,124,273,161,42,667,23,103,158,375,208,181,126,39,10,1221,0,3,0,11,23,7,35,11,4,89,0,10,10,42,7,7,0,0,0,73,0,0,3,10,7,3,0,0,0,30,5,37,58,98,48,14,3,0,0,263,0,0,0,17,8,25,21,10,3,78,0,9,0,61,57,86,148,77,21,460,0,6,14,15,8,6,0,0,0,50,3,16,21,91,58,17,27,9,0,248
CED231,4,11,11,350,39,29,14,7,6,468,0,12,88,407,59,122,150,159,116,1106,3,12,111,185,26,13,7,0,0,362,0,8,419,886,32,7,0,0,0,1361,0,0,4,32,18,14,13,3,0,87,6,32,1545,1326,117,85,51,13,4,3181,0,0,0,6,9,19,31,23,12,106,0,0,46,90,7,9,6,0,0,161,0,0,70,31,4,3,3,3,0,113,0,0,46,86,0,0,0,0,0,138,4,0,18,70,17,24,38,9,5,184,14,23,303,1494,274,167,72,26,8,2391,3,3,3,47,14,7,4,0,0,84,3,9,61,129,7,0,3,0,0,224,0,0,3,25,15,3,3,0,0,52,6,11,93,349,43,25,11,3,0,546,0,0,3,52,9,23,16,7,8,120,0,4,24,193,53,56,27,12,5,377,13,15,389,413,29,21,18,0,0,898,0,0,59,236,26,32,8,4,0,363
CED232,0,8,33,617,48,41,27,5,3,784,6,8,51,353,54,63,100,65,34,728,16,12,43,133,49,34,7,0,0,294,0,6,70,265,21,3,0,0,0,364,0,0,4,25,16,10,13,0,3,65,6,7,167,512,66,65,33,9,3,880,0,0,0,10,7,11,19,9,7,70,0,0,8,80,22,13,5,10,0,135,0,0,0,3,3,3,0,0,0,20,0,0,25,110,3,0,0,0,0,145,4,7,12,71,30,24,39,8,4,204,12,54,176,1233,333,205,113,32,11,2170,0,0,3,68,21,10,13,3,0,121,0,3,13,81,3,3,0,0,0,110,0,0,4,15,15,3,0,0,0,38,3,10,32,239,41,15,6,0,0,349,0,0,3,80,17,78,119,67,130,486,0,7,25,206,94,59,61,17,8,478,4,23,45,185,31,18,8,7,0,322,3,16,93,444,173,128,97,35,15,1002
CED233,0,5,3,20,20,16,21,14,3,108,3,10,11,47,89,217,560,495,181,1622,0,8,15,18,13,11,8,3,0,82,4,41,55,141,64,32,14,6,0,374,0,0,4,24,40,68,40,15,10,196,13,123,262,578,273,296,209,88,14,1862,0,0,0,4,9,19,27,40,4,98,0,0,0,13,6,4,9,3,0,39,0,3,3,8,3,0,4,3,3,29,0,0,0,8,0,0,0,0,0,14,0,0,7,11,23,30,68,37,20,198,12,57,107,166,121,100,53,29,9,650,0,0,0,3,8,13,13,5,5,49,13,19,27,125,23,9,14,3,0,229,0,0,0,14,9,5,0,0,0,31,0,13,25,71,13,21,12,7,0,163,0,0,0,17,0,31,18,11,13,96,0,3,10,26,41,38,66,32,13,228,7,48,72,115,79,58,49,20,3,451,5,52,133,141,142,111,52,25,10,668
CED234,0,11,3,30,5,21,13,11,7,99,0,0,3,15,33,87,235,195,65,628,0,0,0,11,3,0,0,0,0,14,0,0,6,18,6,0,3,0,0,30,0,0,0,9,0,3,5,0,0,14,9,6,24,85,25,15,0,0,0,154,0,0,0,0,0,14,23,5,0,44,0,0,3,3,0,0,0,0,0,10,0,0,0,12,0,0,0,0,0,10,0,3,0,24,0,3,0,0,0,29,0,0,8,17,12,38,103,52,14,243,15,79,103,215,147,139,111,28,7,842,0,0,0,7,0,10,18,6,0,41,4,35,14,81,15,5,0,0,0,156,0,0,0,3,9,6,3,0,0,29,5,55,36,140,17,9,0,0,0,268,0,0,0,5,3,6,4,3,5,22,0,0,7,15,20,54,65,34,6,208,0,0,0,7,4,0,0,0,0,16,0,14,18,34,22,15,3,5,0,112
CED235,0,8,0,57,20,33,20,13,3,160,4,24,35,127,227,576,848,660,237,2726,0,7,4,5,5,3,3,0,0,28,0,0,10,41,11,9,0,0,0,70,0,15,29,255,219,147,86,19,6,779,7,19,93,155,54,73,42,8,5,457,0,0,0,8,28,99,165,78,15,398,0,3,11,60,16,33,16,8,0,153,0,4,7,13,6,0,4,0,0,35,0,5,31,158,9,5,0,0,0,211,0,0,3,7,5,21,22,14,6,89,43,149,138,312,119,89,34,11,0,899,0,3,0,0,11,11,18,6,0,51,15,54,54,245,37,15,3,0,0,421,0,4,3,16,4,0,0,0,0,28,7,49,114,301,132,92,54,3,0,742,0,3,0,28,9,30,17,11,3,104,0,6,3,25,28,56,39,26,3,193,7,15,12,45,10,17,5,0,0,115,0,25,29,59,37,21,8,4,0,180
CED236,0,8,0,23,8,16,12,11,3,84,0,0,3,4,8,12,25,18,12,77,0,0,0,4,0,0,0,0,0,13,0,3,28,45,0,0,0,0,0,80,0,0,0,8,0,3,0,0,0,13,0,3,8,18,3,9,3,3,0,48,0,0,0,0,5,18,28,8,0,67,0,0,0,4,0,0,0,0,0,10,0,0,0,8,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,8,0,3,3,13,14,51,134,70,18,309,11,73,86,266,198,173,82,26,5,912,0,0,0,3,3,11,20,3,0,49,6,0,0,10,8,0,0,0,0,20,0,0,3,8,4,0,0,0,0,17,3,33,23,81,14,4,0,0,0,161,0,0,0,5,3,6,10,3,4,26,0,3,4,21,19,50,64,35,10,197,0,4,5,0,3,3,0,0,0,15,0,13,18,40,29,14,9,3,0,113
CED237,0,7,4,171,33,19,11,12,4,264,4,19,33,291,278,505,817,1158,555,3652,0,15,14,47,7,4,3,3,0,91,0,7,13,85,6,3,3,0,0,109,6,12,56,389,314,270,210,71,12,1345,8,9,72,210,34,42,14,4,0,398,0,0,0,11,23,52,122,132,34,375,0,3,8,68,16,9,0,3,0,109,0,9,7,20,11,11,8,0,0,63,3,26,328,958,23,14,5,0,0,1358,3,8,3,40,13,17,18,8,0,116,15,51,147,951,190,76,37,9,7,1483,0,0,0,16,8,6,10,3,0,51,67,139,399,1359,88,22,6,3,0,2080,0,0,3,12,8,0,5,0,0,29,13,32,40,232,51,33,12,4,0,425,0,0,3,45,15,39,15,15,13,150,0,3,12,100,61,35,29,19,12,262,5,9,17,74,18,11,8,3,0,146,0,0,21,105,19,13,7,5,0,178
CED294,0,0,0,10,0,0,0,0,0,14,0,0,8,10,0,3,6,0,0,34,0,0,0,3,0,0,0,0,0,3,0,0,4,12,0,0,0,0,0,15,0,0,0,4,0,0,0,0,0,5,0,0,5,17,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,10,0,0,0,7,0,3,9,0,0,17,0,3,17,51,19,15,8,0,0,123,0,0,0,0,0,0,3,0,0,4,0,0,0,9,0,0,0,0,0,8,0,0,0,3,3,0,0,0,0,3,0,0,0,13,3,0,0,0,0,23,0,0,0,5,0,0,0,0,0,8,0,0,3,3,0,3,4,0,0,7,0,0,3,4,0,0,0,0,0,8,0,0,0,9,3,0,3,0,0,10
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
