CED_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
CED222,13,26,117,889,435,365,111,56,30,2045,4,6,0,28,15,17,17,11,3,103,0,10,7,52,15,6,0,0,0,96,18,139,206,1040,511,402,268,213,88,2880,251,389,438,1276,615,558,469,366,226,4593,5236,9579,9199,23530,11343,9047,6744,3961,2218,80861,18,96,402,811,168,61,24,0,3,1587,9713,16344,13762,24953,11791,9003,6139,3138,1770,96621,3,17,16,128,35,23,3,0,0,229,0,3,31,201,131,106,42,34,7,554,17,63,305,1155,502,318,178,50,17,2603,4,21,14,107,47,27,5,3,7,243,0,5,5,84,72,55,74,20,4,317,43,157,458,1249,526,377,185,105,45,3148,0,0,15,73,63,86,102,57,16,417,3,23,11,43,34,78,63,49,20,332,61,353,300,1225,1236,990,1025,617,288,6091,0,12,49,185,139,88,22,21,6,522,0,7,19,70,27,12,24,8,0,172,9,12,46,147,108,81,196,115,43,756
CED223,0,10,60,191,49,58,18,6,7,395,0,3,7,15,23,10,11,14,7,71,0,0,4,22,8,7,4,0,0,51,31,100,156,707,286,234,189,127,83,1914,170,288,308,857,489,446,425,355,308,3646,4345,8462,8197,19172,10312,9343,6818,3863,2142,72644,0,0,4,7,3,0,0,0,0,18,8198,15374,14033,25559,14122,12433,8124,3899,1891,103632,0,0,12,36,3,0,0,0,0,46,0,4,0,26,19,28,7,12,3,98,0,0,0,16,3,0,0,0,0,23,0,19,23,108,57,35,15,3,0,262,0,5,0,25,13,13,11,0,3,75,24,158,450,1477,507,333,165,76,23,3219,0,0,0,25,69,85,82,80,17,362,0,6,7,36,23,47,72,23,13,223,28,242,252,940,877,835,776,411,178,4541,0,0,4,40,14,10,12,0,3,88,0,10,10,61,34,26,21,7,11,178,3,13,27,108,88,63,221,116,48,695
CED224,0,26,157,363,213,138,44,12,4,969,0,0,3,8,6,6,9,0,3,41,0,0,7,29,8,10,7,3,4,64,25,88,180,709,247,185,195,138,116,1895,128,265,450,1063,496,416,413,307,230,3768,3188,8668,11063,19906,11002,8607,6595,4071,2877,75971,0,0,8,11,0,0,0,0,0,18,5686,14262,15656,20158,12383,9840,7097,3912,2736,91732,0,6,12,91,10,8,0,0,0,140,0,0,3,13,10,5,3,4,0,36,0,0,13,23,25,9,0,4,0,78,11,29,39,139,62,43,26,6,3,354,0,0,0,27,22,12,10,5,3,78,119,818,1961,3471,1803,1081,472,252,86,10064,0,0,0,18,26,30,34,48,15,180,0,16,7,42,31,50,55,20,11,227,69,416,316,918,784,662,609,313,194,4274,0,3,11,72,33,16,19,16,0,168,3,31,31,153,52,25,17,11,3,329,6,18,26,114,62,53,172,65,40,570
CED225,3,0,11,67,24,24,6,0,0,140,0,0,0,18,22,17,9,6,8,76,0,8,14,50,14,10,3,0,0,98,16,109,150,677,457,289,212,126,43,2086,203,408,432,1024,622,476,370,223,97,3857,5084,10975,10330,21671,12073,9122,5856,2765,1272,79156,8,46,223,524,160,81,23,10,3,1074,9696,19721,17539,27261,14809,11094,6131,2583,1085,109922,0,14,7,76,41,10,3,0,0,152,0,3,7,61,35,21,21,9,3,156,0,0,6,60,24,23,3,0,0,120,3,19,18,68,52,35,17,10,0,225,0,7,5,115,78,66,46,16,3,327,20,94,167,894,292,213,88,26,3,1809,0,0,0,51,89,70,70,39,14,330,4,35,48,113,78,54,59,17,4,411,33,355,393,1166,1714,1495,1378,713,264,7507,0,9,26,134,92,47,22,13,0,348,0,3,9,44,32,29,22,3,3,139,0,8,26,103,120,154,260,169,96,947
CED226,3,27,71,554,173,161,53,18,3,1054,0,6,0,21,12,14,5,0,4,70,0,8,21,86,21,10,3,0,0,151,70,419,675,2631,923,530,301,133,41,5724,541,792,702,2225,837,672,484,248,144,6646,10803,16513,13562,41447,13632,10077,5933,2655,1034,115662,3,4,26,110,40,28,9,4,0,215,19730,24828,17167,30830,13288,8965,4930,1923,674,122323,24,125,117,1170,148,41,9,3,0,1636,0,0,20,187,99,72,37,14,0,423,0,7,13,110,52,53,23,4,3,256,5,29,27,100,47,23,9,10,0,249,0,8,15,147,98,109,82,20,0,474,80,262,526,3313,713,719,216,66,19,5912,0,7,8,101,119,128,111,73,3,546,14,74,47,118,57,76,52,15,8,456,63,362,298,1102,1169,939,814,429,134,5316,3,34,72,500,179,129,75,12,3,1017,0,7,11,48,25,29,12,9,0,135,3,22,28,118,88,84,187,72,27,623
CED227,3,3,6,83,35,39,12,3,0,180,0,0,0,8,3,3,7,3,0,25,0,0,0,15,7,7,3,0,0,36,8,39,53,200,108,83,65,43,25,617,247,487,626,1333,937,1059,888,676,379,6625,3810,8165,7658,15299,9444,9756,7842,5171,2810,69947,0,43,79,163,84,44,10,0,0,417,7323,15284,13589,23433,14941,15791,12073,7226,3445,113099,0,5,3,26,7,8,0,0,0,51,0,0,0,5,3,0,0,0,0,7,0,6,12,38,19,11,0,3,0,91,0,3,7,29,11,7,5,0,3,68,0,0,0,3,0,0,5,0,0,5,0,6,44,129,31,24,17,7,0,259,0,0,0,0,9,19,25,27,13,94,0,4,0,14,0,4,3,0,0,30,3,34,66,209,325,426,505,264,112,1931,0,3,4,38,17,18,7,7,0,97,0,3,18,23,11,0,3,3,3,68,0,0,4,34,15,43,140,43,15,295
CED228,35,146,775,3416,1830,1459,475,236,102,8488,0,0,0,13,7,6,3,3,3,26,0,0,4,22,0,0,0,0,0,31,45,164,379,1324,510,408,395,317,165,3710,303,442,622,1756,676,686,591,455,223,5752,4742,8764,10814,25292,10931,9598,7082,4914,2396,84532,0,0,42,90,10,6,4,0,0,155,8467,14756,15176,23843,11043,8082,4242,2356,1334,89307,5,11,33,149,16,11,3,0,0,232,0,4,45,209,116,128,76,56,9,649,3,3,3,31,46,44,16,10,8,155,5,18,7,89,41,13,11,3,0,189,0,3,14,100,101,80,131,33,3,478,12,89,526,1175,439,399,163,116,73,2988,4,8,12,96,165,238,388,407,71,1373,8,38,37,141,75,117,144,112,34,707,22,90,88,496,384,350,365,175,82,2056,3,9,19,121,48,36,30,9,3,285,0,4,13,44,24,15,17,12,4,132,3,6,33,83,43,59,322,118,76,745
CED229,0,9,17,138,22,20,3,0,0,213,0,4,3,17,15,17,15,8,4,75,0,16,32,81,33,13,0,0,0,183,29,165,199,851,420,281,197,97,43,2284,440,728,700,1989,1035,844,669,327,177,6901,8699,15102,12822,32606,14383,10993,7338,3085,1327,106345,0,23,63,63,26,4,0,0,0,174,16477,26866,21289,42171,18887,14101,8530,3319,1273,152911,3,15,5,84,20,7,0,0,0,142,0,0,3,34,23,22,9,0,0,98,0,0,4,29,12,10,0,0,0,55,8,18,10,84,42,36,12,4,3,219,0,0,0,35,42,21,7,6,3,121,16,48,210,381,116,64,34,13,9,888,0,0,5,48,97,88,92,48,11,377,3,31,14,139,55,72,69,22,10,418,15,282,238,895,1219,1066,1053,522,166,5458,0,27,38,228,112,70,29,3,0,506,0,3,3,20,36,15,21,9,3,110,0,5,23,121,78,116,272,87,48,748
CED230,0,6,12,60,14,9,0,0,0,102,0,3,6,13,12,21,21,11,0,88,0,3,11,36,12,5,3,0,0,74,5,89,131,463,196,165,146,90,59,1350,299,573,612,1450,957,997,961,586,276,6715,5663,10892,9412,20988,11101,11027,9428,4972,2450,85928,0,8,26,54,17,5,0,0,0,114,10808,19869,16419,30940,16174,15548,11735,5776,2515,129787,0,13,3,55,9,3,0,0,0,87,0,0,0,38,12,13,14,9,0,82,0,4,9,50,18,9,3,0,0,91,5,12,5,70,26,31,21,4,3,179,0,3,9,35,26,19,16,4,0,116,3,22,39,175,75,41,28,9,0,394,0,0,3,14,32,36,50,42,8,186,0,50,24,63,18,11,29,7,4,205,10,158,177,700,1019,1315,1611,964,336,6282,0,12,20,81,38,18,6,3,0,177,0,0,3,15,15,6,12,10,3,66,5,9,19,77,67,125,332,176,65,872
CED231,4,55,502,980,526,521,261,151,59,3064,0,0,10,45,11,5,7,0,0,73,0,3,13,31,5,3,0,0,0,56,80,196,1162,3229,583,368,291,180,89,6181,452,463,2317,4718,1041,853,573,352,246,11008,4217,5284,25921,46218,9309,7504,4921,2713,1383,107465,0,4,34,44,9,4,5,0,0,112,6808,8122,14485,39870,9846,7582,4600,1593,740,93645,0,0,62,89,3,0,3,0,0,158,0,0,4,74,24,24,12,18,0,161,0,3,79,70,17,30,11,4,0,222,13,15,117,550,67,33,11,0,4,813,5,3,23,272,36,38,22,16,9,420,52,167,12166,6080,834,555,291,407,182,20739,0,0,8,47,48,49,44,41,7,248,7,50,21,80,31,55,54,38,25,356,34,117,606,2752,768,560,485,151,52,5535,0,3,15,80,28,23,15,3,0,168,3,4,158,527,37,19,26,13,8,787,4,8,96,384,85,43,122,39,24,805
CED232,0,3,62,212,34,38,12,4,0,360,0,0,5,32,14,10,0,0,0,61,0,0,8,32,16,14,3,0,0,74,53,137,400,2226,450,476,573,438,357,5112,312,345,943,3613,950,796,556,293,237,8050,3865,5581,10047,34516,9900,8023,5621,2877,1829,82272,0,0,5,26,5,3,0,0,0,35,6554,9217,10010,32258,11556,9276,5507,2146,954,87490,0,0,16,83,0,6,0,0,0,103,0,0,0,69,19,30,12,3,0,133,0,0,3,26,3,3,3,0,0,43,19,20,64,422,87,56,24,0,0,699,3,5,9,140,26,23,22,0,0,235,38,150,2362,2408,460,305,130,71,21,5947,0,0,3,65,33,37,33,17,3,198,0,6,3,38,25,48,78,39,19,248,74,204,456,3164,1099,801,655,261,132,6849,0,4,4,101,25,22,10,4,0,173,13,59,95,577,84,41,70,34,12,984,8,13,51,419,132,75,265,85,83,1122
CED233,0,8,22,186,150,133,69,19,16,596,0,0,0,7,9,12,5,4,0,39,0,0,3,28,21,14,3,3,0,75,11,75,99,447,292,268,263,234,110,1804,106,231,258,638,423,412,418,345,254,3086,3236,7780,8515,16386,10679,9154,7543,5014,2473,70776,0,0,0,12,6,3,0,0,0,38,6158,13322,13258,16621,11567,8420,6252,4129,1826,81558,0,0,3,19,7,11,4,3,0,56,0,0,3,10,20,14,3,3,0,48,0,0,3,29,37,24,11,3,0,107,0,15,22,52,34,30,9,12,3,165,0,6,6,27,22,21,9,8,3,91,99,532,1401,4357,1895,1542,776,423,195,11218,0,0,0,21,55,55,104,94,20,347,0,28,26,150,86,169,121,88,31,706,26,192,181,446,671,636,641,430,185,3413,0,0,10,41,41,51,22,24,0,193,3,3,9,18,26,16,10,15,7,101,3,8,12,53,71,67,219,152,55,647
CED234,0,0,0,16,4,3,0,3,0,30,0,0,0,7,5,7,11,11,3,33,0,0,4,14,6,3,0,0,0,34,13,80,114,262,104,109,69,49,26,824,276,569,576,1421,971,1020,965,645,387,6828,4217,8802,7836,16045,9924,10189,8474,5184,2561,73227,3,69,221,321,104,33,9,3,0,755,7823,16131,13785,23819,15399,16010,12526,7290,3065,115842,0,9,0,20,10,0,3,0,0,39,0,0,0,0,5,0,6,9,0,18,0,3,3,13,0,4,0,0,0,26,3,11,0,30,17,16,6,3,3,86,0,0,0,5,0,3,0,0,0,14,4,11,28,115,43,21,14,3,0,244,0,0,0,12,7,12,28,15,0,77,0,18,3,8,3,4,11,5,0,52,4,48,58,241,348,537,754,407,137,2534,0,13,8,33,10,6,0,0,0,68,0,0,5,13,13,12,9,6,0,52,0,0,18,38,27,47,144,59,23,357
CED235,3,20,145,723,366,292,66,43,14,1678,0,3,0,6,6,6,5,8,0,26,0,6,18,58,12,4,0,0,0,96,45,268,269,1112,508,433,300,165,57,3166,267,441,527,1455,683,668,539,352,112,5043,5669,10083,10912,24902,11435,9734,6657,3824,1466,84680,0,18,39,120,36,29,4,0,0,244,10636,17008,16509,25423,11873,8199,4400,1945,875,96855,3,10,23,160,31,9,3,0,0,235,0,0,14,104,76,71,31,23,3,329,0,4,20,109,61,63,15,3,0,279,3,14,13,50,31,8,3,0,3,130,0,3,0,32,25,24,22,3,0,121,40,94,515,1779,437,353,175,71,17,3485,0,3,9,65,107,126,134,103,19,568,0,37,29,192,96,189,166,67,28,818,18,162,120,399,525,472,408,232,83,2414,0,16,39,244,110,85,36,24,12,577,0,0,3,16,12,21,15,0,0,72,0,11,38,81,64,36,142,52,27,441
CED236,0,0,3,20,6,7,0,0,0,41,0,3,3,3,7,9,8,0,3,34,0,0,3,10,8,4,0,4,0,27,0,27,26,123,53,54,38,37,16,366,213,438,485,1149,839,918,891,610,319,5866,3494,7854,7037,13927,9523,9979,8136,4779,2509,67237,0,0,0,3,0,0,0,0,0,3,6629,14772,13153,22730,15423,16280,12729,6802,3040,111568,0,0,3,13,3,0,0,0,0,22,0,0,0,3,0,3,0,0,0,8,0,0,0,17,0,0,0,0,0,26,4,9,4,30,19,20,7,0,3,104,0,0,0,4,3,0,7,0,0,15,5,15,50,122,40,18,12,6,0,261,0,0,0,4,11,7,16,8,0,40,0,8,3,12,7,7,10,3,0,48,9,73,51,258,460,626,821,479,164,2930,0,3,8,27,13,5,4,0,0,59,0,6,11,19,10,8,3,4,0,54,0,3,6,40,29,53,109,54,21,311
CED237,4,16,66,305,102,135,47,7,6,693,0,0,3,17,7,4,0,4,4,40,0,0,10,33,0,4,0,0,0,46,49,127,220,1226,333,250,221,189,100,2718,288,440,597,2088,705,522,463,460,247,5798,5172,8126,10470,31658,10254,7701,5487,5143,2713,86728,0,9,20,58,11,5,0,0,0,103,9335,13872,14838,35846,12441,7905,3397,2165,1538,101337,7,48,46,355,48,22,5,0,0,530,0,0,4,71,27,33,19,15,0,167,0,0,11,27,5,9,3,3,0,51,6,8,24,244,35,23,9,4,0,358,6,6,3,109,32,28,16,3,3,210,13,59,704,1108,320,341,93,74,24,2738,0,0,7,37,65,57,82,119,34,397,7,29,20,102,50,113,130,120,62,622,39,134,211,1507,585,405,269,152,77,3393,0,6,16,144,71,32,29,15,0,314,0,8,44,161,32,23,13,9,3,287,5,18,31,259,77,44,142,52,47,678
CED294,0,0,15,19,3,7,0,0,0,47,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,10,48,76,14,11,11,3,3,178,23,26,82,201,49,57,30,9,5,476,163,197,631,1271,347,352,204,49,28,3238,0,0,3,8,0,0,0,0,0,6,295,255,654,1734,591,504,271,66,26,4389,0,0,3,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,8,0,0,7,16,3,0,4,0,0,31,0,0,0,11,3,0,0,0,0,16,0,4,71,51,3,11,0,0,0,140,0,0,0,0,4,0,4,0,0,3,0,0,0,7,3,0,0,0,0,16,3,0,35,83,39,39,46,17,0,259,0,0,0,0,3,0,0,0,0,7,0,0,6,16,0,0,0,0,0,20,0,0,7,5,3,3,7,3,0,33
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
